,spend,Impressions,leads,link_clicks,reach,Agency Tiers
158,65.78,3660,1,37,3479,4
159,50.45,2547,1,33,2462,4
160,88.05,4045,1,38,3867,4
161,55.76,2467,0,20,2206,4
162,32.25,1891,1,12,1744,4
163,40.71,958,1,12,838,4
164,65.45,2957,1,26,2761,4
165,57.3,2192,1,24,2086,4
166,31.31,2866,1,55,2582,4
167,31.82,1616,1,13,1529,4
168,63.53,3064,1,9,2869,4
169,41.26,1419,1,12,1321,4
170,24.19,859,1,7,807,4
171,38.14,1290,1,8,1208,4
172,20.1,1419,1,13,1366,4
173,63.04,2840,1,17,2708,4
174,7.24,253,0,0,228,4
175,65.82,2889,1,19,2741,4
176,16.58,460,0,4,432,4
177,55.38,2355,1,21,2089,4
178,7.58,185,1,4,178,4
179,75.47,2301,1,23,2017,4
180,15.54,514,1,6,434,4
181,50.76,2363,0,19,2248,4
182,64.32,2836,1,26,2635,4
183,7.35,208,0,4,196,4
184,31.84,1670,1,12,1555,4
185,48.67,2033,1,12,1893,4
186,64.85,3546,1,33,3352,4
187,32.19,2053,1,15,1963,4
188,50.29,2496,1,24,2365,4
189,0.0,0,0,0,0,4
190,25.39,1085,0,7,979,4
191,62.59,2063,1,17,1937,4
192,66.27,3021,1,41,2884,4
193,31.03,1702,1,17,1604,4
194,23.62,1336,1,9,1247,4
195,47.3,1424,1,12,1277,4
196,65.38,3881,1,31,3703,4
197,40.69,1307,1,10,1198,4
198,41.45,1206,0,14,1105,4
199,7.09,311,0,5,296,4
200,14.89,587,0,10,509,4
201,48.1,2479,1,15,2304,4
202,40.44,2116,1,12,1815,4
203,36.41,1228,1,14,1083,4
204,6.84,283,0,2,277,4
205,7.42,265,1,2,255,4
206,24.76,1530,1,12,1482,4
207,50.29,1712,1,22,1638,4
208,64.58,1609,1,15,1409,4
209,32.47,2175,1,17,2086,4
210,63.49,2995,1,13,2841,4
211,56.62,3240,1,30,2913,4
212,6.82,612,0,5,492,4
213,64.66,2645,1,49,2197,4
214,25.59,958,0,11,892,4
215,55.72,2411,1,10,2213,4
216,33.06,2558,1,26,2460,4
217,31.37,2332,1,6,2229,4
218,65.63,2773,1,23,2572,4
219,57.01,2464,1,24,2256,4
220,6.92,289,0,3,275,4
221,49.46,2110,0,13,1892,4
222,7.07,421,0,0,380,4
223,65.53,3230,1,29,3063,4
224,64.5,3379,1,31,2897,4
225,66.65,3612,1,20,3474,4
226,55.05,2066,1,15,1874,4
227,49.35,2200,1,24,2087,4
228,24.92,1396,1,11,1354,4
229,6.68,285,1,5,264,4
230,64.47,3923,1,17,3767,4
231,36.98,1190,0,10,1089,4
232,69.16,3132,1,31,2930,4
233,48.09,1521,1,15,1313,4
234,64.06,2638,1,14,2529,4
235,32.37,1605,1,13,1534,4
236,65.44,2615,1,22,2406,4
237,50.14,2839,0,8,2699,4
238,6.95,170,1,1,157,4
239,32.79,1883,1,14,1699,4
240,72.03,4371,1,31,4066,4
241,50.21,2271,1,29,2210,4
242,6.93,218,0,4,209,4
243,64.09,3125,1,19,2934,4
244,7.86,435,0,2,383,4
245,67.19,2986,1,17,2796,4
246,32.15,1427,1,10,1340,4
247,62.69,1671,0,23,1482,4
248,48.24,2315,1,22,2172,4
249,49.91,2153,1,28,2078,4
250,31.0,1606,1,21,1569,4
251,29.61,1793,1,16,1710,4
252,64.41,3034,1,13,2796,4
253,66.03,2797,1,22,2667,4
254,39.73,2258,1,20,2018,4
255,16.17,818,1,19,777,4
256,15.87,628,1,6,591,4
257,65.28,2829,1,36,2551,4
258,48.93,2656,0,12,2506,4
259,41.1,1203,1,7,1085,4
260,65.63,3575,1,34,3386,4
261,32.3,1788,1,18,1691,4
262,31.0,1306,1,16,1162,4
263,7.01,237,0,0,229,4
264,24.84,1211,1,11,1147,4
265,31.91,2348,1,19,2214,4
266,37.75,1142,1,10,1061,4
267,49.79,3377,1,41,3189,4
268,65.05,2197,0,13,2055,4
269,65.53,2403,1,17,2238,4
270,15.45,751,0,2,722,4
271,30.59,1586,1,19,1396,4
272,6.77,293,1,6,280,4
273,58.16,2789,1,24,2615,4
274,65.8,2752,1,43,2457,4
275,33.08,1141,1,10,1064,4
276,24.53,1088,0,10,1020,4
277,63.72,2787,1,27,2624,4
278,16.52,619,1,9,568,4
279,8.19,338,0,1,328,4
280,24.08,1097,1,14,1017,4
281,31.99,1574,0,15,1489,4
282,6.87,253,1,2,237,4
283,24.26,904,1,12,840,4
284,32.19,1293,0,11,1226,4
285,16.36,734,0,6,686,4
286,30.86,1547,1,10,1382,4
287,32.95,1362,1,26,1331,4
288,32.23,1799,1,7,1678,4
289,8.17,359,0,1,319,4
290,63.17,3136,1,14,2984,4
291,49.25,2384,1,15,2267,4
292,64.4,3145,1,22,2874,4
293,7.06,186,0,3,179,4
294,7.99,401,0,3,348,4
295,25.17,1200,1,8,1098,4
296,63.08,2892,1,20,2742,4
297,34.36,1715,1,28,1645,4
298,64.98,3311,1,50,3132,4
299,32.63,1629,1,23,1512,4
300,29.22,1162,1,18,1116,4
301,23.09,715,0,10,653,4
302,56.33,2121,1,13,1947,4
303,31.42,1385,1,11,1286,4
304,31.83,2414,1,38,2296,4
305,16.08,1044,1,12,1002,4
306,47.79,1966,1,21,1794,4
307,36.76,1092,1,6,944,4
308,49.46,2348,1,23,2164,4
309,32.71,2020,1,11,1897,4
310,2.53,146,0,0,143,4
311,16.02,1109,0,14,1036,4
312,16.09,968,1,11,940,4
313,63.18,3796,1,32,3594,4
314,32.24,1877,1,11,1734,4
315,49.48,2443,1,26,2305,4
316,88.5,4447,1,49,4232,4
317,64.18,4017,1,30,3862,4
318,32.03,1096,1,7,1051,4
319,24.46,863,0,6,795,4
320,47.84,1942,0,14,1789,4
321,65.91,2140,1,28,1950,4
322,61.53,1928,1,16,1779,4
323,37.68,2099,1,17,1941,4
324,23.88,1014,0,6,972,4
325,66.52,3203,1,42,2974,4
326,64.72,2889,1,18,2684,4
327,32.49,2561,1,36,2417,4
328,95.15,4591,0,16,4407,4
329,62.38,4716,1,43,4502,4
330,72.29,3488,1,29,3083,4
331,62.22,3516,1,25,3285,4
332,6.93,217,0,2,212,4
333,57.94,1994,1,29,1853,4
334,65.22,2594,1,28,2404,4
335,48.62,2170,1,32,2025,4
336,15.95,1429,1,20,1314,4
337,51.02,1539,1,27,1287,4
338,67.13,2394,1,15,2243,4
339,7.16,398,0,3,379,4
340,48.93,2005,1,17,1794,4
341,50.08,1982,1,27,1886,4
342,15.01,483,0,6,459,4
343,16.02,1277,1,14,1204,4
344,65.28,3188,1,37,3027,4
345,60.6,2501,1,19,2244,4
346,62.95,2583,1,11,2396,4
347,31.87,1252,0,9,1199,4
348,48.43,3347,1,26,3140,4
349,17.34,874,0,1,839,4
350,64.8,3440,1,29,3272,4
351,49.99,2210,1,17,2043,4
352,48.15,2285,1,26,2143,4
353,44.19,1722,0,15,1582,4
354,65.58,2218,0,16,2028,4
355,32.69,1382,1,14,1298,4
356,40.71,1885,1,11,1716,4
357,49.39,2810,1,22,2627,4
358,6.77,162,0,3,152,4
359,65.06,2534,1,18,2330,4
360,63.97,2989,1,18,2824,4
361,32.21,1515,1,13,1456,4
362,31.98,1453,1,6,1408,4
363,47.28,1839,1,10,1720,4
364,31.25,1760,1,34,1623,4
365,31.93,1068,1,25,1011,4
366,48.1,2487,1,31,2367,4
367,62.42,1612,0,13,1512,4
368,15.91,590,0,7,552,4
369,31.55,886,0,5,809,4
370,24.04,911,1,5,863,4
371,32.67,1947,1,42,1835,4
372,6.71,262,0,0,253,4
373,64.64,3265,1,37,3096,4
374,64.64,2225,1,14,2157,4
375,8.38,539,0,0,507,4
376,64.04,4077,1,31,3728,4
377,49.55,1865,1,18,1735,4
378,57.09,2376,1,12,2186,4
379,63.35,3599,1,29,3418,4
380,49.84,1864,1,9,1635,4
381,63.9,2915,0,8,2749,4
382,63.75,2863,0,28,2536,4
383,31.93,2309,1,12,2106,4
384,31.49,1322,1,15,1264,4
385,23.51,1253,1,11,1178,4
386,6.75,254,0,2,238,4
387,65.56,3316,1,29,3136,4
388,40.38,1689,1,11,1543,4
389,54.98,2040,1,15,1941,4
390,67.28,2844,1,29,2638,4
391,64.43,2677,1,23,2492,4
392,49.21,1744,1,10,1653,4
393,48.64,2782,1,33,2589,4
394,65.99,2432,1,10,2330,4
395,67.69,2502,1,17,2310,4
396,48.9,3173,1,36,2958,4
397,6.62,484,1,2,474,4
398,50.67,2035,1,21,1976,4
399,32.22,1267,1,22,1211,4
400,65.4,3408,1,31,3188,4
401,31.88,1632,1,12,1429,4
402,53.76,1588,1,16,1448,4
403,31.09,1884,1,11,1769,4
404,7.08,354,0,1,331,4
405,50.03,2051,1,18,1943,4
406,48.27,1802,1,17,1685,4
407,31.61,1282,1,30,1253,4
408,40.28,1280,1,6,1178,4
409,76.61,3992,1,22,3715,4
