"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",24.4,568,3,9,525,"Agency 3"
"CA","B2",118.03,4355,3,31,3913,"Agency 2"
"CA","B2",22.26,559,3,12,533,"Agency 3"
"CA","B2",65.03,2934,3,19,2795,"Agency 2"
"CA","B2",22.4,1145,1,9,1106,"Agency 3"
"CA","B2",31.74,1544,1,6,1427,"Agency 2"
"CA","B2",2.08,294,0,1,280,"Agency 3"
"CA","B2",33.51,1262,1,6,1210,"Agency 3"
"CA","B2",14.23,792,0,10,785,"Agency 3"
"CA","B2",32.19,2254,1,9,2099,"Agency 2"
"CA","B2",1.99,241,0,1,237,"Agency 3"
"CA","B2",64.01,2631,1,12,2404,"Agency 2"
"CA","B2",65.49,2948,1,15,2805,"Agency 2"
"CA","B2",32.36,1479,9,27,1443,"Agency 2"
"CA","B2",22.49,953,0,1,920,"Agency 3"
"CA","B2",33.57,2135,5,16,2004,"Agency 3"
"CA","B2",24.6,1313,1,6,1273,"Agency 2"
"CA","B2",43.26,1243,1,16,1176,"Agency 2"
"CA","B2",25.1,1182,2,14,1090,"Agency 2"
"CA","B2",31.16,1286,3,26,1229,"Agency 2"
"CA","B2",1.93,151,0,0,146,"Agency 3"
"CA","B2",18.34,957,1,11,927,"Agency 3"
"CA","B2",1.97,200,0,0,198,"Agency 3"
"CA","B2",44.14,2062,3,15,1896,"Agency 3"
"CA","B2",33.21,2297,3,8,2217,"Agency 2"
"CA","B2",12.42,386,0,0,375,"Agency 3"
"CA","B2",39.08,2372,1,11,2278,"Agency 3"
"CA","B2",32.81,867,1,7,820,"Agency 7"
"CA","B2",57.54,2473,0,18,2263,"Agency 7"
"CA","B2",64.46,3089,1,8,2855,"Agency 2"
"CA","B2",10.24,519,0,2,492,"Agency 4"
"CA","B2",50.67,1949,1,13,1832,"Agency 2"
"CA","B2",13.79,547,1,4,510,"Agency 3"
"CA","B2",97.76,3842,7,17,3684,"Agency 2"
"CA","B2",3.02,644,0,0,593,"Agency 3"
"CA","B2",41.25,1369,4,16,1242,"Agency 2"
"CA","B2",6.99,276,1,2,261,"Agency 2"
"CA","B2",57.81,2239,1,19,2038,"Agency 2"
"CA","B2",10.34,546,1,2,536,"Agency 3"
"CA","B2",31.77,1375,3,14,1213,"Agency 5"
"CA","B2",20.41,823,1,13,809,"Agency 3"
"CA","B2",1.96,251,0,0,238,"Agency 3"
"CA","B2",41.35,2502,2,16,2453,"Agency 3"
"CA","B2",2.01,306,0,1,298,"Agency 3"
"CA","B2",32.18,1038,2,6,991,"Agency 2"
"CA","B2",29.61,1577,1,9,1539,"Agency 2"
"CA","B2",16.09,571,1,6,529,"Agency 2"
"CA","B2",19.84,979,1,7,943,"Agency 3"
"CA","B2",7.68,551,0,3,546,"Agency 3"
"CA","B2",1.96,124,0,1,122,"Agency 3"
"CA","B2",7.97,345,0,2,333,"Agency 3"
"CA","B2",33.84,2070,1,13,1963,"Agency 3"
"CA","B2",7.2,198,0,1,185,"Agency 2"
"CA","B2",69.61,3516,4,11,3172,"Agency 7"
"CA","B2",66.34,3054,1,22,2890,"Agency 2"
"CA","B2",7.27,263,1,3,251,"Agency 3"
"CA","B2",7.04,285,2,8,274,"Agency 2"
"CA","B2",32.83,1533,2,11,1422,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",43.25,1709,2,10,1608,"Agency 3"
"CA","B2",10.62,998,0,9,927,"Agency 7"
"CA","B2",9.73,300,0,9,295,"Agency 3"
"CA","B2",11.86,540,1,3,515,"Agency 3"
"CA","B2",40.58,3590,3,18,3494,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 2"
"CA","B2",41.91,2651,2,22,2619,"Agency 3"
"CA","B2",6.88,273,0,6,254,"Agency 2"
"CA","B2",49.15,2652,4,18,2558,"Agency 2"
"CA","B2",29.4,1444,2,10,1423,"Agency 3"
"CA","B2",32.78,1441,4,15,1368,"Agency 5"
"CA","B2",52.16,2093,5,17,1993,"Agency 2"
"CA","B2",71.39,3861,7,31,3642,"Agency 2"
"CA","B2",16.38,1166,1,7,1101,"Agency 3"
"CA","B2",67.78,2714,2,9,2549,"Agency 2"
"CA","B2",33.86,1539,5,46,1459,"Agency 5"
"CA","B2",7.51,352,1,5,338,"Agency 3"
"CA","B2",23.61,1326,2,3,1244,"Agency 2"
"CA","B2",37.19,1873,2,17,1794,"Agency 3"
"CA","B2",6.79,220,0,4,207,"Agency 2"
"CA","B2",7.07,232,1,2,212,"Agency 2"
"CA","B2",1.98,233,0,2,231,"Agency 3"
"CA","B2",65.65,3734,6,51,3482,"Agency 2"
"CA","B2",48.96,2993,3,22,2748,"Agency 2"
"CA","B2",21.88,706,2,12,655,"Agency 3"
"CA","B2",33.31,2099,0,9,1956,"Agency 3"
"CA","B2",31.77,2243,4,9,2167,"Agency 3"
"CA","B2",16.19,1046,0,8,991,"Agency 3"
"CA","B2",16.08,622,1,13,603,"Agency 2"
"CA","B2",32.42,2626,4,22,2486,"Agency 2"
"CA","B2",8.04,296,3,5,283,"Agency 3"
"CA","B2",1.94,149,0,1,144,"Agency 3"
"CA","B2",52.8,2584,8,26,2424,"Agency 7"
"CA","B2",86.92,3303,12,46,3190,"Agency 2"
"CA","B2",36.37,1511,1,13,1224,"Agency 5"
"CA","B2",16.28,558,0,5,538,"Agency 2"
"CA","B2",23.38,684,0,6,630,"Agency 2"
"CA","B2",17.24,1001,1,6,966,"Agency 3"
"CA","B2",48.78,2177,1,25,2079,"Agency 2"
"CA","B2",6.96,449,0,0,370,"Agency 2"
"CA","B2",54.42,2816,4,25,2477,"Agency 2"
"CA","B2",32.47,882,6,20,845,"Agency 2"
"CA","B2",35.61,1350,3,9,1333,"Agency 3"
"CA","B2",5.07,225,0,2,220,"Agency 3"
"CA","B2",63.96,2389,3,28,2203,"Agency 2"
"CA","B2",40.96,2119,0,15,1931,"Agency 2"
"CA","B2",32.19,1918,1,5,1858,"Agency 5"
"CA","B2",32.26,1372,0,12,1333,"Agency 2"
"CA","B2",63.96,2867,3,22,2720,"Agency 2"
"CA","B2",6.1,113,0,0,111,"Agency 3"
"CA","B2",49.59,1661,1,13,1511,"Agency 7"
"CA","B2",32.84,1138,0,6,1099,"Agency 3"
"CA","B2",70.83,3657,2,12,3290,"Agency 7"
"CA","B2",31.45,1611,2,14,1556,"Agency 5"
"CA","B2",32.05,1453,2,11,1395,"Agency 3"
"CA","B2",34.12,1285,0,49,1216,"Agency 5"
"CA","B2",32.74,1022,0,4,934,"Agency 2"
"CA","B2",1.83,257,0,0,244,"Agency 3"
"CA","B2",2.04,128,0,0,120,"Agency 3"
"CA","B2",24.35,815,0,9,778,"Agency 3"
"CA","B2",16.34,695,2,6,665,"Agency 2"
"CA","B2",40.06,1873,1,12,1721,"Agency 2"
"CA","B2",3.71,101,0,0,98,"Agency 3"
"CA","B2",65.34,3073,3,23,2906,"Agency 2"
"CA","B2",11.78,495,2,4,457,"Agency 3"
"CA","B2",7.12,206,0,3,194,"Agency 2"
"CA","B2",9.18,653,0,14,635,"Agency 7"
