,spend,Impressions,leads,link_clicks,reach,Agency Tiers
190,31.3,1194,1,8,1069,
191,41.48,2509,1,49,2390,
192,16.18,932,0,7,861,
193,64.46,3089,1,8,2855,
194,50.67,1949,1,13,1832,
195,65.95,3898,1,17,3735,
196,97.76,3842,1,17,3684,
197,41.25,1369,1,16,1242,
198,31.73,1361,1,7,1280,
199,6.99,276,1,2,261,
200,57.81,2239,1,19,2038,
201,49.85,1956,1,14,1805,
202,32.18,1038,1,6,991,
203,29.61,1577,1,9,1539,
204,40.49,1228,1,12,1166,
205,16.09,571,1,6,529,
206,31.92,1589,1,20,1464,
207,32.18,1658,1,9,1560,
208,24.29,1266,1,6,1208,
209,40.33,1331,1,14,1251,
210,16.49,786,0,4,731,
211,31.24,1106,1,7,1003,
212,64.45,2975,1,25,2807,
213,62.03,2258,1,19,2061,
214,31.79,1897,1,15,1702,
215,32.51,1651,1,20,1568,
216,49.01,2333,1,18,2178,
217,7.2,198,0,1,185,
218,32.63,1439,1,20,1369,
219,66.34,3054,1,22,2890,
220,47.4,1681,1,7,1507,
221,7.04,285,1,8,274,
222,32.83,1533,1,11,1422,
223,37.34,1329,1,11,1235,
224,38.08,2814,1,33,2679,
225,12.23,676,0,7,649,
226,33.49,1631,1,14,1446,
227,15.45,735,1,16,687,
228,32.6,1097,1,6,1028,
229,39.9,1721,1,10,1618,
230,79.11,3389,0,18,3155,
231,49.61,1797,0,6,1650,
232,57.08,3911,1,24,3609,
233,0.0,0,0,0,0,
234,49.45,4065,1,12,3874,
235,6.88,273,0,6,254,
236,49.15,2652,1,18,2558,
237,16.3,653,1,9,607,
238,52.16,2093,1,17,1993,
239,71.39,3861,1,31,3642,
240,18.26,1055,0,38,980,
241,41.69,1311,1,18,1257,
242,67.78,2714,1,9,2549,
243,39.91,1237,1,22,1156,
244,23.61,1326,1,3,1244,
245,6.79,220,0,4,207,
246,7.07,232,1,2,212,
247,65.65,3734,1,51,3482,
248,33.53,1125,1,12,1051,
249,32.24,1408,1,11,1346,
250,50.55,1759,1,8,1672,
251,50.04,2497,1,24,2386,
252,48.96,2993,1,22,2748,
253,31.11,1193,0,9,1060,
254,59.13,2008,1,18,1781,
255,16.36,1005,1,5,981,
256,0.0,0,0,0,0,
257,49.36,1751,1,9,1624,
258,16.08,622,1,13,603,
259,39.28,1906,1,18,1789,
260,41.94,1661,1,7,1502,
261,32.42,2626,1,22,2486,
262,32.17,1575,1,9,1478,
263,32.6,2465,1,15,2200,
264,28.34,1369,0,7,1258,
265,86.92,3303,1,46,3190,
266,49.43,1778,1,18,1618,
267,31.9,1093,1,13,1018,
268,23.61,1496,1,10,1394,
269,32.15,2183,1,27,2096,
270,32.44,1398,0,11,1320,
271,16.28,558,0,5,538,
272,41.28,1659,1,17,1592,
273,23.38,684,0,6,630,
274,48.78,2177,1,25,2079,
275,6.96,449,0,0,370,
276,31.46,996,0,8,876,
277,15.91,934,1,8,865,
278,54.42,2816,1,25,2477,
279,34.56,757,0,6,699,
280,32.08,1682,1,21,1603,
281,49.09,1746,1,14,1592,
282,32.47,882,1,20,845,
283,63.96,2389,1,28,2203,
284,47.75,1742,0,9,1643,
285,40.96,2119,0,15,1931,
286,49.95,2991,1,7,2695,
287,24.09,904,1,4,871,
288,31.72,1168,0,4,1104,
289,48.85,3112,1,14,2934,
290,49.38,1817,1,15,1682,
291,48.7,1659,1,30,1559,
292,32.26,1372,0,12,1333,
293,19.69,834,1,5,805,
294,63.96,2867,1,22,2720,
295,17.15,986,1,8,930,
296,47.25,2146,0,27,1888,
297,23.82,1012,0,8,913,
298,48.77,2252,1,10,2088,
299,40.58,2536,1,32,2393,
300,16.01,1072,1,20,931,
301,81.39,3209,1,30,2808,
302,0.0,0,0,0,0,
303,83.02,2906,1,22,2634,
304,37.0,1996,1,14,1862,
305,32.74,1022,0,4,934,
306,40.5,1925,1,23,1818,
307,16.34,695,1,6,665,
308,40.06,1873,1,12,1721,
309,65.34,3073,1,23,2906,
310,7.12,206,0,3,194,
311,64.22,2013,0,4,1766,
312,16.19,568,1,8,551,
313,30.01,995,1,6,977,
314,24.68,1072,1,7,997,
315,50.73,1675,0,7,1489,
316,49.41,2051,1,16,1900,
317,65.12,3119,1,15,2985,
318,31.98,976,1,5,892,
319,63.51,2764,1,15,2634,
320,47.47,2448,1,22,2326,
321,48.17,1905,1,19,1799,
322,37.19,1810,1,16,1674,
323,29.66,1093,0,6,1016,
324,31.59,1911,1,11,1818,
325,23.99,1250,1,12,1148,
326,32.28,1171,1,6,1085,
327,16.24,768,1,21,748,
328,54.25,2322,1,39,2248,
329,47.33,2131,1,19,1824,
330,99.25,4594,1,21,4397,
331,40.9,1296,1,16,1205,
332,53.49,2458,1,24,2185,
333,64.66,2721,1,12,2547,
334,48.67,3352,0,9,3089,
335,50.42,2615,1,6,2482,
336,59.17,2150,0,25,1977,
337,32.05,1553,1,15,1495,
338,16.17,673,1,8,569,
339,16.05,1454,1,13,1410,
340,16.29,662,0,3,615,
341,40.54,1516,1,14,1466,
342,15.63,652,0,4,604,
343,48.71,1967,1,25,1802,
344,6.85,283,0,3,267,
345,7.13,326,1,5,315,
346,41.66,1481,0,21,1397,
347,40.7,1910,1,12,1774,
348,48.44,1919,0,8,1824,
349,72.44,3503,1,27,3265,
350,65.73,2655,1,15,2433,
351,24.04,1066,1,10,1007,
352,42.6,1509,1,34,1440,
353,32.75,1579,1,10,1473,
354,48.45,2108,1,17,1994,
355,23.35,1215,1,22,1141,
356,48.82,2738,1,21,2577,
357,48.28,2516,1,17,2417,
358,66.4,2488,1,31,2310,
359,31.06,1778,1,15,1649,
360,16.05,527,1,4,493,
361,32.32,997,0,9,928,
362,48.24,2153,1,13,1990,
363,49.63,1799,1,8,1701,
364,31.69,1584,0,12,1526,
365,40.95,1796,1,12,1711,
366,63.65,3855,1,44,3626,
367,30.83,1431,1,9,1354,
368,47.87,2023,1,5,1917,
369,26.75,1141,1,8,1076,
370,32.02,1186,1,8,1133,
371,47.55,2586,0,8,2479,
372,47.96,2296,1,21,2193,
373,31.74,1001,1,6,927,
374,40.48,1750,1,16,1698,
375,15.91,835,1,6,768,
376,50.59,2424,1,12,2220,
377,31.98,1820,1,11,1689,
378,15.98,675,1,5,612,
379,49.89,1784,1,6,1669,
380,65.41,2663,1,19,2438,
381,50.78,1637,1,8,1467,
382,46.54,1963,1,7,1835,
383,35.17,1002,1,20,937,
384,35.02,1673,1,24,1574,
385,48.85,2343,1,14,2167,
386,31.55,1424,1,18,1302,
387,32.48,1214,1,7,1102,
388,65.09,2327,1,19,2173,
389,48.88,2421,1,25,2328,
390,63.99,3582,1,33,3405,
391,31.96,2084,1,18,1928,
392,56.58,1944,0,17,1727,
393,16.32,851,1,7,801,
394,48.65,1534,1,19,1437,
395,15.52,741,1,17,723,
396,53.49,3069,1,14,2865,
397,7.18,215,0,1,201,
398,49.16,1383,1,9,1313,
399,32.71,1468,1,6,1334,
400,63.4,2495,1,16,2235,
401,65.37,2674,0,29,2431,
402,63.95,3578,1,14,3393,
403,96.71,3923,1,18,3775,
404,32.6,1525,1,13,1475,
405,6.73,227,0,4,223,
406,7.13,398,1,5,369,
407,31.38,1520,1,11,1432,
408,40.63,1360,0,17,1243,
409,0.0,0,0,0,0,
410,10.18,779,0,2,730,
411,16.62,819,1,5,756,
412,32.27,1413,1,15,1238,
413,16.31,654,1,8,638,
414,23.27,1014,0,9,924,
415,48.78,2588,1,22,2342,
416,63.26,2633,1,21,2491,
417,35.66,1212,1,14,1162,
418,64.81,3023,1,17,2919,
419,50.32,1842,1,28,1684,
420,63.85,2726,1,13,2575,
421,30.71,1065,1,18,1000,
422,57.27,2374,1,8,2261,
423,49.79,2347,0,11,2219,
424,43.39,1787,1,9,1659,
425,33.41,3330,1,36,3059,
426,16.29,949,1,14,887,
427,61.21,2824,1,33,2595,
428,31.65,2090,1,21,1966,
429,49.49,1858,1,22,1741,
430,47.85,1670,0,9,1587,
431,67.15,2731,1,16,2474,
432,48.99,2736,0,7,2572,
433,40.47,1430,0,23,1331,
434,29.23,1049,1,12,973,
435,67.17,3059,1,32,2705,
436,41.07,1516,1,15,1404,
437,41.72,1426,1,14,1335,
438,41.55,1931,1,25,1819,
439,61.73,2417,1,11,2328,
440,49.32,2782,1,31,2696,
441,24.68,1452,1,11,1404,
442,40.35,1886,1,15,1746,
443,55.37,2841,0,8,2745,
444,31.93,1454,1,9,1356,
445,32.96,1822,1,35,1706,
446,137.16,5238,1,42,4631,
447,32.46,1846,1,8,1746,
448,40.11,1738,1,17,1650,
449,32.29,2294,1,11,2169,
450,50.26,2140,1,8,2000,
451,16.25,844,0,10,805,
452,32.99,1320,1,11,1253,
453,15.99,662,1,3,626,
454,15.94,757,0,4,712,
455,15.18,705,1,7,660,
456,31.92,1705,1,17,1547,
457,52.39,1835,1,10,1775,
458,47.75,2738,1,10,2514,
459,23.97,861,1,6,814,
460,41.35,2299,1,34,2176,
461,50.14,1628,1,16,1501,
462,31.48,1643,0,6,1530,
463,49.2,2491,1,49,2298,
464,50.91,1377,1,15,1223,
465,32.51,1701,1,11,1596,
466,7.24,540,0,3,508,
467,65.09,3424,1,26,3224,
468,31.68,1919,1,23,1872,
469,40.63,1842,1,15,1727,
470,32.68,1676,1,19,1564,
471,17.08,969,1,11,881,
472,23.79,1443,1,14,1403,
473,63.76,2118,1,19,1927,
474,31.96,1359,0,14,1243,
475,47.18,2659,0,3,2528,
476,16.08,808,0,3,776,
477,16.08,640,0,4,581,
478,32.94,682,0,3,577,
479,41.75,1750,1,21,1594,
480,18.12,957,0,2,875,
481,64.86,3350,0,17,3204,
482,47.67,2184,0,11,1947,
483,32.38,1718,1,17,1568,
484,48.52,2334,1,19,2147,
485,32.65,1765,1,11,1646,
486,50.83,2167,1,17,2016,
487,32.38,1193,1,11,1121,
488,50.05,2395,1,18,2127,
489,65.78,3660,1,37,3479,
490,47.92,3525,1,30,3384,
491,48.87,2464,0,7,2279,
492,48.01,1874,1,12,1723,
493,50.45,2547,1,33,2462,
494,64.45,2158,1,13,1967,
495,31.7,1463,1,4,1359,
496,31.82,1441,1,5,1350,
497,88.05,4045,1,38,3867,
498,17.93,938,1,4,888,
499,33.72,777,1,6,733,
500,62.59,3581,1,21,3485,
501,32.44,1406,1,6,1253,
502,55.76,2467,0,20,2206,
503,32.68,1315,1,12,1253,
504,47.25,1575,1,16,1501,
505,49.69,2414,0,20,2270,
506,32.19,1572,1,7,1485,
507,15.03,612,0,4,543,
508,63.59,5241,1,30,5032,
509,32.25,1891,1,12,1744,
510,72.26,2321,1,15,2170,
511,40.71,958,1,12,838,
512,31.99,1524,1,10,1379,
513,64.28,2733,1,18,2568,
514,65.45,2957,1,26,2761,
515,57.3,2192,1,24,2086,
516,31.9,1650,1,5,1506,
517,62.48,2251,1,23,2021,
518,31.31,2866,1,55,2582,
519,60.15,2570,0,9,2345,
520,38.05,1631,0,8,1483,
521,63.0,2642,1,14,2452,
522,31.82,1616,1,13,1529,
523,24.83,729,1,2,689,
524,17.59,1147,1,5,1040,
525,63.53,3064,1,9,2869,
526,41.26,1419,1,12,1321,
527,24.19,859,1,7,807,
528,16.12,869,0,5,830,
529,33.2,1659,1,15,1531,
530,38.14,1290,1,8,1208,
531,100.81,3676,1,42,3471,
532,33.23,1736,0,8,1667,
533,30.98,1345,0,9,1287,
534,33.91,1630,1,14,1550,
535,32.39,926,0,8,844,
536,32.17,1639,1,4,1540,
537,20.1,1419,1,13,1366,
538,31.78,1765,1,21,1701,
539,44.77,1342,0,10,1160,
540,48.05,2854,1,21,2668,
541,63.04,2840,1,17,2708,
542,36.92,1410,1,9,1285,
543,41.77,2274,1,26,2157,
544,7.24,253,0,0,228,
545,32.49,1923,1,20,1730,
546,62.36,2376,1,16,2047,
547,16.0,839,0,8,815,
548,48.7,2525,1,55,2385,
549,23.04,1071,1,8,983,
550,31.44,1263,0,9,1187,
551,65.82,2889,1,19,2741,
552,49.71,1793,1,20,1689,
553,16.58,460,0,4,432,
554,41.01,1581,0,11,1489,
555,49.55,3165,1,21,3075,
556,32.53,1370,1,15,1305,
557,55.38,2355,1,21,2089,
558,64.86,3143,1,18,3032,
559,24.35,1042,1,2,934,
560,7.58,185,1,4,178,
561,27.14,2030,1,14,1920,
562,15.13,783,1,6,743,
563,75.47,2301,1,23,2017,
564,15.54,514,1,6,434,
565,50.76,2363,0,19,2248,
566,64.76,3792,1,20,3528,
567,64.32,2836,1,26,2635,
568,32.28,2043,1,10,1930,
569,7.35,208,0,4,196,
570,32.71,1973,1,22,1890,
571,31.84,1670,1,12,1555,
572,48.07,1956,1,11,1792,
