"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"NJ","B2",54.97,2199,4,24,1870,"Agency 7"
"CA","B2",58.93,2484,2,23,2304,"Agency 2"
"UT","B2",48.07,3465,6,18,3270,"Agency 2"
"FL","B2",40.29,1579,1,13,1534,"Agency 2"
"TX","B2",4.99,1242,0,1,1102,"Agency 3"
"GA","B2",0,0,0,0,0,"Agency 3"
"PA","B2",43.44,1467,2,10,1399,"Agency 2"
"FL","B2",36.88,2361,1,7,2256,"Agency 3"
"IL","B2",53.28,1658,1,7,1523,"Agency 5"
"CA","B2",21.29,652,0,1,592,"Agency 3"
"IN","B2",0,0,0,0,0,"Agency 5"
"OR","B2",50.02,1806,4,13,1629,"Agency 2"
"OH","B2",4.93,260,0,1,241,"Agency 3"
"TX","B2",9.06,470,0,0,445,"Agency 3"
"FL","B2",71.15,2820,4,19,2719,"Agency 2"
"VA","B2",32.21,896,0,3,707,"Agency 2"
"CA","B2",33.06,987,2,10,920,"Agency 2"
"FL","B2",29.35,1206,1,6,1129,"Agency 3"
"CA","B2",1.59,102,0,0,101,"Agency 3"
"TX","B2",32.57,982,1,11,934,"Agency 3"
"MO","B2",9.18,271,0,2,256,"Agency 3"
"PA","B2",30.75,1159,1,8,1101,"Agency 2"
"IN","B2",28.38,2204,6,24,2109,"Agency 3"
"CA","B2",70.66,3718,4,25,3390,"Agency 7"
"CA","B2",12.2,390,0,1,376,"Agency 3"
"CA","B2",13.14,632,0,3,616,"Agency 3"
"TX","B2",15.88,719,1,2,694,"Agency 3"
"CA","B2",31.6,1211,3,11,1053,"Agency 7"
"TX","B2",31.75,1319,3,8,1203,"Agency 2"
"TX","B2",17.97,906,3,7,848,"Agency 3"
"TN","B2",34.1,1521,0,14,1406,"Agency 3"
"NJ","B2",31.93,1597,1,14,1514,"Agency 3"
"NC","B2",35.38,1851,1,17,1794,"Agency 3"
"TX","B2",5.47,1613,0,3,1487,"Agency 3"
"OH","B2",32.04,1313,0,6,1207,"Agency 2"
"FL","B2",55.45,1933,2,11,1645,"Agency 5"
"CA","B2",5.68,256,0,3,251,"Agency 3"
"CA","B2",15.83,747,2,11,729,"Agency 3"
"NC","B2",16.14,815,0,9,770,"Agency 2"
"IN","B2",30.13,1133,1,13,1070,"Agency 2"
"CA","B2",82.31,4369,3,31,4064,"Agency 2"
"CA","B2",66.1,2715,5,20,2593,"Agency 2"
"UT","B2",4.55,104,0,1,100,"Agency 4"
"CO","B2",31.51,1721,2,17,1680,"Agency 3"
"WA","B2",31.01,986,0,6,899,"Agency 2"
"UT","B2",5.14,239,0,0,234,"Agency 4"
"CA","B2",59.24,2142,8,35,1822,"Agency 7"
"UT","B2",5.39,283,0,1,274,"Agency 4"
"FL","B2",48.39,2131,1,10,1994,"Agency 3"
"IA","B2",16.08,1152,0,5,1085,"Agency 3"
"MN","B2",42.18,2221,0,9,2143,"Agency 3"
"OR","B2",49.88,1663,0,4,1509,"Agency 2"
"NJ","B2",98.95,4068,2,24,3663,"Agency 2"
"CA","B2",30.07,1954,1,11,1866,"Agency 3"
"FL","B2",63.06,2997,6,19,2836,"Agency 2"
"FL","B2",15.87,579,2,6,559,"Agency 2"
"CA","B2",36.96,2018,0,10,1892,"Agency 3"
