,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
29344,CA,20.47,915,1,7,884,
29345,CA,20.37,868,1,5,842,
29346,CO,17.87,422,0,8,401,
29347,CO,17.59,678,0,2,654,
29348,FL,48.4,1277,1,16,1164,
29349,FL,0.0,0,0,0,0,
29350,NC,32.22,1084,1,16,1026,
29351,TX,34.05,1921,1,19,1847,
29352,CO,51.22,1015,0,10,929,
29353,MI,25.56,822,1,10,741,
29354,MI,25.94,1084,1,12,1006,
29355,CO,50.76,1433,0,2,1354,
29356,FL,50.01,1437,1,19,1362,
29357,CT,62.39,2200,1,31,1973,
29358,CA,44.83,1527,0,6,1396,
29359,MI,0.0,0,0,0,0,
29360,CA,20.35,1058,0,4,1031,
29361,CA,20.09,978,0,4,946,
29362,TX,0.0,0,0,0,0,
29363,CO,51.23,1332,1,6,1218,
29364,SD,48.42,1608,1,22,1461,
29365,CO,17.48,454,0,7,420,
29366,CO,17.55,783,1,4,765,
29367,FL,19.76,645,0,2,621,
29368,FL,26.0,885,1,11,844,
29369,WA,31.8,1098,1,9,1031,
29370,VA,0.0,0,0,0,0,
29371,VA,24.0,893,0,10,824,
29372,MI,13.54,612,1,8,583,
29373,MI,35.19,1017,1,10,946,
29374,CT,37.11,1491,1,9,1408,
29375,CT,15.63,691,0,5,646,
29376,CT,0.0,0,0,0,0,
29377,VA,31.76,1646,1,3,1452,
29378,MN,8.44,473,0,0,453,
29379,MN,8.52,417,0,3,394,
29380,NC,32.9,1285,1,24,1221,
29381,VA,33.38,1194,0,8,1120,
29382,VA,22.49,1134,1,9,1092,
29383,VA,22.32,767,0,10,740,
29384,CO,52.79,1038,1,9,963,
29385,NC,90.47,4083,1,19,3929,
29386,NY,16.41,541,1,2,519,
29387,NY,33.12,1148,1,8,1083,
29388,NJ,36.49,1776,1,9,1673,
29389,FL,50.51,1543,1,21,1468,
29390,CA,28.71,903,1,8,843,
29391,CA,28.93,1099,1,10,1023,
29392,TX,34.2,1970,1,19,1895,
29393,TX,46.89,2377,1,11,2232,
29394,CT,62.35,2548,1,41,2209,
29395,NC,93.44,4510,1,36,4288,
29396,CO,53.52,1220,0,5,1163,
29397,CO,52.84,1319,0,5,1218,
29398,WA,31.45,1296,0,6,1211,
29399,FL,47.38,1888,1,21,1770,
29400,SD,48.61,1901,1,20,1703,
29401,VA,24.0,885,1,6,810,
29402,VA,0.0,0,0,0,0,
29403,VA,0.0,0,0,0,0,
29404,VA,31.63,1650,0,8,1429,
29405,TX,47.41,2269,1,23,2114,
29406,TX,34.95,2239,1,22,2142,
29407,VA,34.82,1324,1,15,1199,
29408,CA,20.48,974,1,8,943,
29409,CA,21.23,1058,1,5,1019,
29410,NJ,37.65,1885,1,14,1752,
29411,FL,52.75,1451,1,25,1361,
29412,NC,32.15,1345,1,9,1266,
29413,TX,0.0,0,0,0,0,
29414,MN,7.79,388,0,2,371,
29415,MN,8.5,425,1,2,400,
29416,CT,58.65,2424,0,8,2278,
29417,CT,62.28,2559,1,39,2123,
29418,NY,15.1,551,0,6,529,
29419,NY,26.87,878,1,5,816,
29420,CA,46.07,1707,0,9,1570,
29421,VA,22.36,1130,1,10,1093,
29422,VA,21.62,809,1,11,778,
29423,CO,15.63,769,0,3,746,
29424,CO,15.58,392,0,0,368,
29425,CA,30.38,1007,0,5,937,
29426,CA,28.98,1075,0,7,1008,
29427,MI,51.95,1394,1,13,1306,
29428,CO,51.93,1336,1,7,1309,
29429,MI,51.69,1690,1,6,1481,
29430,CA,0.0,0,0,0,0,
29431,MI,0.0,0,0,0,0,
29432,CO,51.88,1636,0,5,1569,
29433,NC,91.8,3773,1,25,3596,
29434,FL,47.36,1862,1,24,1767,
29435,SD,46.26,2117,1,19,1748,
29436,SD,0.0,0,0,0,0,
29437,CA,27.29,1035,1,15,976,
29438,CA,27.17,972,1,7,907,
29439,VA,32.69,1577,0,6,1393,
29440,TX,0.0,0,0,0,0,
29441,NJ,31.28,1554,1,7,1474,
29442,WA,32.35,1342,1,11,1245,
29443,CA,40.71,1527,0,7,1416,
29444,MN,0.0,0,0,0,0,
29445,MN,7.89,422,1,8,398,
29446,MN,7.91,337,0,0,328,
29447,VA,22.27,762,0,13,739,
29448,VA,22.42,1012,1,13,987,
29449,CO,15.75,616,0,3,598,
29450,CO,15.15,397,1,5,378,
29451,VA,24.39,1015,0,6,937,
29452,VA,0.0,0,0,0,0,
29453,NC,28.33,1224,1,15,1166,
29454,CT,61.37,2513,1,40,2081,
29455,TX,45.16,2150,1,18,2005,
29456,TX,0.0,0,0,0,0,
29457,TX,0.0,0,0,0,0,
29458,VA,0.0,0,0,0,0,
29459,VA,34.29,1292,1,4,1223,
29460,CA,20.26,1057,1,5,1026,
29461,CA,20.51,920,1,5,887,
29462,CT,0.0,0,0,0,0,
29463,CT,60.51,2486,1,11,2350,
29464,TX,34.43,2077,1,23,1990,
29465,FL,50.52,1450,1,17,1373,
29466,NY,10.74,354,0,1,338,
29467,WA,33.85,1199,1,15,1124,
29468,CA,20.39,696,1,2,662,
29469,CA,20.0,920,1,6,879,
29470,CA,25.83,752,1,4,700,
29471,CA,25.86,978,0,9,912,
29472,VA,22.72,746,1,20,713,
29473,VA,22.98,955,1,17,929,
29474,CO,49.46,1288,1,8,1214,
29475,CO,0.0,0,0,0,0,
29476,SD,49.43,1680,0,23,1540,
29477,NC,106.77,3867,1,26,3665,
29478,CA,0.0,0,0,0,0,
29479,CA,20.27,669,0,5,613,
29480,TX,32.72,1873,1,20,1765,
29481,CT,50.12,2212,1,44,1907,
29482,TX,46.88,2135,1,13,1992,
29483,TX,0.0,0,0,0,0,
29484,MN,8.2,352,1,2,337,
29485,MN,8.48,372,0,1,347,
29486,CO,15.52,596,0,3,564,
29487,CO,15.5,303,1,6,285,
29488,NY,10.78,364,1,1,350,
29489,NC,28.98,1034,1,17,986,
29490,VA,24.57,882,1,10,794,
29491,CA,0.0,0,0,0,0,
29492,MI,51.19,1414,1,16,1218,
29493,VA,32.2,1209,0,4,1116,
29494,NJ,32.35,1461,1,5,1379,
29495,CT,58.86,2208,1,22,2049,
29496,FL,48.83,1408,1,13,1303,
29497,TX,73.94,2781,1,23,2577,
29498,CO,49.39,1140,1,5,1078,
29499,FL,48.47,1890,1,15,1773,
29500,VA,31.89,1572,1,6,1338,
29501,NY,9.42,268,0,0,259,
29502,NY,0.0,0,0,0,0,
29503,NJ,32.5,1305,1,5,1209,
29504,VA,33.1,1454,1,5,1263,
29505,CA,0.0,0,0,0,0,
29506,CT,0.0,0,0,0,0,
29507,CO,0.0,0,0,0,0,
29508,CO,47.5,1313,0,4,1212,
29509,MI,58.58,1714,1,12,1484,
29510,TX,32.8,2010,1,18,1915,
29511,VA,22.02,853,1,5,817,
29512,VA,23.0,761,1,11,733,
29513,FL,46.89,1406,1,21,1314,
29514,MN,7.81,417,1,2,385,
29515,MN,7.88,286,0,0,269,
29516,VA,0.0,0,0,0,0,
29517,VA,22.73,875,1,6,799,
29518,VA,0.0,0,0,0,0,
29519,CA,23.58,1062,0,2,1010,
29520,CA,17.61,675,0,3,635,
29521,NC,28.97,1202,1,14,1127,
29522,FL,48.67,2004,1,33,1870,
29523,CO,0.0,0,0,0,0,
29524,CO,45.4,982,0,9,909,
29525,CA,24.99,843,0,2,790,
29526,CA,25.33,838,0,4,796,
29527,WA,32.32,1005,1,9,933,
29528,NC,99.64,4115,1,30,3967,
29529,CT,56.89,2101,0,11,1967,
29530,TX,86.18,2879,1,31,2636,
29531,CO,14.65,386,0,9,369,
29532,CO,15.47,574,0,3,565,
29533,CA,17.24,650,0,3,575,
29534,SD,0.0,0,0,0,0,
29535,SD,48.23,1714,1,22,1573,
29536,SD,0.0,0,0,0,0,
29537,VA,29.28,1015,1,7,959,
29538,TX,49.09,2362,1,23,2272,
29539,TX,0.0,0,0,0,0,
29540,TX,86.39,3145,1,52,2877,
29541,CA,23.72,1168,0,3,1118,
29542,CA,17.18,751,1,2,729,
29543,CA,4.7,168,1,2,168,
29544,VA,10.15,268,1,6,264,
29545,VA,21.35,774,1,5,737,
29546,NC,97.47,3982,1,21,3739,
29547,CT,16.82,690,1,14,666,
29548,NY,10.66,307,0,3,296,
29549,VA,22.51,1032,0,5,956,
29550,VA,0.0,0,0,0,0,
29551,VA,0.0,0,0,0,0,
29552,WA,30.58,1235,0,8,1146,
29553,TX,31.58,1822,1,18,1752,
29554,VA,31.51,1513,0,10,1337,
29555,CO,0.0,0,0,0,0,
29556,CO,46.32,1007,1,10,928,
29557,CO,14.42,495,0,8,460,
29558,CO,14.92,618,0,2,609,
29559,FL,48.02,1950,1,30,1848,
29560,SD,47.89,1801,1,17,1634,
29561,VA,22.69,1040,1,11,1011,
29562,VA,21.63,737,1,8,713,
29563,CA,17.05,566,0,4,529,
29564,CA,4.84,152,0,0,151,
29565,FL,46.8,1451,1,18,1359,
29566,CA,26.53,857,1,5,811,
29567,CA,26.59,851,0,15,817,
29568,CT,57.18,2119,1,10,2004,
29569,MI,0.0,0,0,0,0,
29570,MN,7.82,308,0,1,294,
