,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
0,TN,8.96,492,0,0,483,
1,GA,15.92,797,0,3,773,
2,MO,11.16,836,1,2,798,
3,RI,8.8,759,0,2,729,
4,CA,5.83,500,0,0,476,
5,TX,8.26,662,0,5,623,
6,TX,13.21,546,0,0,499,
7,NC,8.92,614,1,2,592,
8,TX,21.29,1157,1,5,1119,
9,TN,0.0,0,0,0,0,
10,NC,21.95,1441,1,3,1385,
11,CA,16.22,1324,1,3,1236,
12,PA,12.73,978,1,2,886,
13,CO,0.0,0,0,0,0,
14,NC,12.82,799,1,4,765,
15,NM,17.6,1173,0,1,1079,
16,GA,16.33,1519,1,5,1320,
17,NC,10.75,1320,0,2,1245,
18,TN,5.99,363,0,0,355,
19,CA,7.33,380,0,2,354,
20,TX,16.62,1010,1,3,979,
21,MI,32.62,2442,0,5,2321,
22,TN,10.33,1059,1,3,1042,
23,CO,5.99,354,0,1,342,
24,CA,44.2,2090,1,7,1987,
25,RI,29.42,2430,1,18,2219,
26,TX,12.12,569,0,10,500,
27,NC,9.27,920,0,2,851,
28,PA,25.24,1804,1,4,1662,
29,TX,0.0,0,0,0,0,
30,GA,8.12,420,1,4,353,
31,TX,0.0,0,0,0,0,
32,MI,2.66,166,0,1,161,
33,CA,10.86,387,0,3,359,
34,MO,9.23,647,1,1,613,
35,NC,0.0,0,0,0,0,
36,MI,16.37,1187,1,3,1104,
37,GA,15.62,1220,1,4,1189,
38,TN,12.55,715,0,3,557,
39,WI,0.0,0,0,0,0,
40,NC,21.15,1882,1,2,1660,
41,CO,13.51,1517,1,2,1454,
42,IA,0.0,0,0,0,0,
43,MN,5.57,503,0,0,489,
44,CO,0.0,0,0,0,0,
45,PA,16.97,712,0,1,643,
46,TN,2.81,182,0,0,165,
47,TX,0.0,0,0,0,0,
48,NC,33.77,1052,0,2,927,
49,CO,13.39,864,1,2,828,
50,TN,5.41,490,0,3,484,
51,NJ,15.05,855,0,5,834,
52,CO,0.0,0,0,0,0,
53,CO,0.0,0,0,0,0,
54,TX,16.89,847,0,1,830,
55,NC,10.41,604,0,2,571,
56,CO,50.46,2845,1,8,2593,
57,MO,13.12,1303,1,3,1172,
58,NC,10.39,1004,0,2,896,
59,PA,9.64,793,0,3,742,
60,NC,10.75,575,0,0,551,
61,TX,13.81,2400,1,6,2217,
62,MO,7.56,475,1,2,467,
63,MO,12.91,1065,0,1,956,
64,CA,0.0,0,0,0,0,
65,CT,15.02,527,0,2,500,
66,MN,11.43,706,0,1,637,
67,MI,6.4,265,0,3,239,
68,MO,0.0,0,0,0,0,
69,PA,15.31,989,1,3,928,
70,PA,17.92,773,0,1,717,
71,NC,16.64,1228,1,5,1141,
72,NC,12.7,699,0,2,668,
73,LA,0.0,0,0,0,0,
74,NC,0.0,0,0,0,0,
75,MA,21.32,1664,1,4,1599,
76,TN,18.17,1297,1,3,1236,
77,CO,0.0,0,0,0,0,
78,PA,15.98,1066,0,8,963,
79,NJ,14.52,530,0,2,510,
80,TX,8.8,671,0,0,604,
81,LA,18.14,1013,0,7,931,
82,TX,17.05,891,0,1,866,
83,OH,11.27,935,0,3,831,
84,CA,14.68,921,0,3,858,
85,TX,13.29,829,0,1,781,
86,PA,0.0,0,0,0,0,
87,ME,28.09,2081,1,5,1714,
88,CA,9.38,538,1,4,515,
89,CO,14.95,710,0,2,694,
90,GA,21.49,1773,1,6,1718,
91,MN,8.66,712,1,2,683,
92,TN,16.17,1248,1,1,1184,
93,NC,12.19,693,0,0,677,
94,NC,14.51,524,0,3,496,
95,CA,12.18,729,0,5,697,
96,MO,10.97,658,1,4,612,
97,TX,8.1,673,0,3,635,
98,CA,12.87,822,0,1,762,
99,CO,8.26,528,1,2,498,
100,NM,17.29,1452,1,4,1371,
101,NC,17.09,1597,1,8,1486,
102,TX,14.93,703,1,9,663,
103,TX,11.11,691,1,4,652,
104,SC,35.67,4249,1,14,3734,
105,OH,11.55,1447,1,4,1400,
106,PA,0.0,0,0,0,0,
107,PA,5.66,314,0,0,275,
108,TX,8.5,426,0,1,395,
109,TX,0.0,0,0,0,0,
110,MO,32.17,2120,1,6,1978,
111,CA,24.38,2389,1,16,2240,
112,NM,13.44,1093,0,4,1009,
113,TN,8.0,820,0,1,805,
114,NJ,16.54,552,1,9,481,
115,TX,14.74,1038,0,2,1013,
116,NC,12.95,1124,1,2,1005,
117,TN,16.55,1765,0,0,1659,
