,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
118,CA,0.0,0,0,0,0,
119,SC,9.97,835,1,5,784,
120,MO,16.68,855,1,2,786,
121,CA,5.88,397,0,2,375,
122,NC,6.6,392,1,2,371,
123,NC,29.51,2162,1,11,2061,
124,CA,25.53,1651,1,8,1600,
125,TX,15.98,2105,1,6,1881,
126,TX,17.05,646,0,2,607,
127,LA,12.1,1225,1,5,1123,
128,NC,18.57,1720,1,6,1658,
129,NC,18.63,1448,1,7,1378,
130,TX,19.88,1522,0,7,1436,
131,TX,6.84,784,1,2,747,
132,WI,0.0,0,0,0,0,
133,CA,16.6,882,0,3,788,
134,TN,6.02,419,0,0,407,
135,TX,17.97,1525,1,4,1445,
136,IA,0.0,0,0,0,0,
137,CT,15.56,1369,0,12,1245,
138,MS,11.39,809,0,1,729,
139,GA,22.48,1562,1,6,1454,
140,PA,6.42,544,0,2,511,
141,PA,26.13,1948,1,13,1828,
142,TX,14.5,1005,1,2,967,
143,NJ,14.53,1152,0,4,1125,
144,CO,0.0,0,0,0,0,
145,RI,28.83,3358,1,8,3172,
146,CO,22.06,2105,1,2,2037,
147,CA,5.42,537,0,0,495,
148,TN,5.94,320,0,1,297,
149,MN,5.44,453,1,2,439,
150,MI,7.81,581,0,3,533,
151,MS,15.34,890,0,1,822,
152,TX,16.35,979,1,5,941,
153,TX,18.62,1980,1,5,1881,
154,CO,9.02,960,1,9,941,
155,CO,14.63,1021,0,3,961,
156,GA,4.67,220,0,0,213,
157,CO,3.31,146,0,0,142,
158,MO,18.06,1251,0,1,1214,
159,CA,17.24,472,0,2,433,
160,CA,0.0,0,0,0,0,
161,NC,0.0,0,0,0,0,
162,TN,7.36,604,0,2,588,
163,PA,16.38,1081,0,2,998,
164,PA,15.02,1121,0,3,1092,
165,MO,13.73,1012,1,4,959,
166,MI,15.94,1429,1,6,1319,
167,GA,16.53,930,1,5,884,
168,CA,0.0,0,0,0,0,
169,CA,24.27,1952,1,9,1876,
170,NC,33.25,1607,1,5,1436,
171,CA,15.67,1329,1,5,1250,
172,GA,0.0,0,0,0,0,
173,CT,15.77,779,0,4,704,
174,MO,13.61,978,1,4,932,
175,MO,8.48,773,0,3,710,
176,MO,33.88,2809,1,6,2621,
177,TN,25.9,1625,0,2,1276,
178,CA,10.66,1027,1,7,911,
179,NJ,16.57,878,1,9,826,
180,NJ,15.97,883,1,5,862,
181,CT,14.94,979,1,7,936,
182,SC,4.74,403,0,2,234,
183,CO,12.15,748,0,1,707,
184,CA,0.0,0,0,0,0,
185,MO,9.1,718,1,1,689,
186,CT,14.87,619,0,1,560,
187,MN,1.13,47,0,0,45,
188,PA,17.17,1123,0,1,1054,
189,SC,24.37,2374,1,17,2171,
190,CA,14.78,1076,0,1,1041,
191,NC,24.53,2123,1,6,1964,
192,TX,8.46,437,1,2,399,
193,TN,32.73,1671,1,12,1612,
194,SC,20.63,1343,0,3,1219,
195,TX,14.02,906,0,3,838,
196,NJ,16.55,1031,1,4,998,
197,TX,16.24,1139,0,2,1065,
198,CA,16.15,1321,0,3,1248,
199,LA,12.13,543,0,7,511,
200,LA,8.08,706,0,3,664,
201,LA,11.3,684,0,3,623,
202,CA,9.87,502,0,2,480,
203,CT,14.19,1083,0,2,1051,
204,MO,12.51,1337,1,3,1242,
205,TX,16.08,1116,0,1,970,
206,CT,15.05,606,1,3,561,
207,CA,10.83,506,0,1,492,
208,PA,0.0,0,0,0,0,
209,TN,8.11,774,1,5,755,
210,CO,17.49,1133,0,3,1053,
211,TN,8.15,801,0,0,789,
212,CA,0.0,0,0,0,0,
213,CA,18.47,1037,0,4,926,
214,NJ,7.57,491,0,2,477,
215,TN,7.76,570,0,1,563,
216,CA,14.86,1092,1,6,1051,
217,MO,8.82,564,1,2,540,
218,MN,4.49,337,0,0,327,
219,PA,0.0,0,0,0,0,
220,TN,9.26,422,0,2,404,
221,LA,5.74,546,1,2,495,
222,MI,15.46,1419,1,2,1324,
223,LA,14.99,1687,1,2,1588,
224,MO,8.72,567,0,0,518,
225,CO,0.0,0,0,0,0,
226,NC,34.6,1197,0,7,1098,
227,TN,0.0,0,0,0,0,
228,CA,7.46,365,1,1,350,
229,CA,0.0,0,0,0,0,
230,TX,14.72,846,0,4,809,
231,CT,5.33,346,0,1,332,
232,GA,11.36,667,1,8,567,
233,PA,13.06,936,0,2,875,
234,GA,15.04,988,0,1,973,
235,CA,24.09,1835,1,10,1578,
236,TX,8.46,947,1,4,843,
237,MS,12.06,560,1,6,487,
238,GA,17.06,563,0,2,538,
239,CO,35.09,2360,0,3,2273,
240,CO,16.76,743,1,7,672,
241,MA,9.96,616,0,4,566,
242,PA,11.71,687,0,4,654,
243,GA,10.67,877,0,0,786,
244,MO,6.37,454,0,1,437,
245,CA,11.95,856,0,1,829,
246,WI,23.2,1529,1,3,1339,
247,TX,13.25,442,1,1,390,
248,CO,0.0,0,0,0,0,
249,TN,7.95,690,1,4,668,
250,NC,0.0,0,0,0,0,
251,CA,24.73,2694,1,15,2597,
252,NC,32.05,2869,0,6,2762,
253,TN,10.6,588,1,1,556,
254,TX,0.0,0,0,0,0,
255,GA,13.97,1011,1,2,984,
256,NC,17.92,1377,1,6,1325,
257,NM,17.72,1444,1,4,1380,
258,CA,38.05,2439,1,14,2286,
259,RI,8.42,678,0,2,655,
260,MO,10.19,643,0,2,619,
261,NJ,16.11,951,0,4,910,
262,TX,15.69,581,0,0,542,
263,TN,8.05,590,1,2,566,
264,TN,11.28,505,0,1,473,
265,TX,0.0,0,0,0,0,
266,MN,14.78,1181,1,3,1144,
267,GA,17.53,1124,0,8,1105,
268,NJ,15.73,769,0,1,754,
269,CA,10.57,508,0,0,497,
270,CO,14.5,966,0,5,885,
271,TX,16.86,2152,1,5,1829,
272,TN,6.44,343,0,1,296,
273,TN,24.92,1200,0,4,1118,
274,RI,15.61,1387,1,11,1337,
275,ME,25.48,1631,0,2,1504,
276,CA,20.27,1594,1,3,1525,
277,TX,13.59,807,0,0,771,
278,OH,10.78,965,0,1,912,
279,MS,11.35,1060,1,4,962,
280,NC,9.45,567,0,0,526,
281,CA,9.2,554,1,4,533,
282,TX,7.82,560,1,2,521,
283,NJ,32.35,1723,0,6,1630,
284,TN,0.0,0,0,0,0,
285,PA,18.69,803,0,1,740,
286,TX,14.43,851,1,4,817,
287,TX,16.5,834,0,4,787,
288,PA,4.41,382,0,2,352,
289,TX,7.81,794,0,2,706,
290,WI,0.0,0,0,0,0,
291,TN,9.04,317,0,1,270,
292,NJ,12.55,608,0,2,585,
293,NM,17.04,1526,1,6,1400,
294,TX,14.54,854,0,6,781,
295,GA,12.07,892,1,4,843,
296,TX,15.96,915,0,2,870,
297,CO,29.13,2438,1,2,2301,
298,NC,16.58,693,1,4,637,
299,TX,2.34,145,1,2,140,
300,TX,7.48,788,1,4,746,
301,CA,10.64,916,1,5,883,
302,IA,23.02,1627,1,3,1512,
303,NJ,15.72,610,1,1,573,
304,GA,10.89,625,1,3,589,
305,PA,6.22,582,0,3,556,
306,IA,26.45,1559,1,9,1360,
307,CO,12.08,1346,0,3,1291,
308,TX,13.64,867,0,2,800,
309,TX,15.31,724,0,3,680,
310,TX,0.0,0,0,0,0,
311,TX,13.37,677,1,2,662,
312,TN,12.01,927,1,3,885,
313,MI,15.3,946,1,3,885,
314,SC,20.31,1674,1,4,1585,
315,MN,10.53,595,0,1,528,
316,MO,33.03,2811,1,9,2673,
317,RI,16.19,1362,1,6,1301,
318,CA,16.4,1070,0,4,1017,
319,MS,12.71,834,1,5,703,
320,TX,16.27,2089,1,7,1777,
321,RI,15.33,1217,0,0,1153,
322,PA,14.7,790,1,3,727,
323,NJ,25.06,1111,0,4,1037,
324,NC,10.1,822,1,4,794,
325,NC,15.94,623,0,1,575,
326,CT,15.05,1039,1,5,1014,
327,TX,15.84,686,1,3,648,
328,MO,6.97,550,0,1,528,
329,OH,5.75,520,0,1,498,
330,NM,10.2,840,1,4,806,
331,TN,13.52,608,0,2,567,
332,MO,6.79,540,0,1,529,
333,ME,8.98,604,0,2,573,
334,MO,15.89,997,1,3,941,
335,CO,0.0,0,0,0,0,
336,PA,28.08,2119,1,9,1958,
337,TN,16.26,1292,1,2,1242,
338,GA,22.49,1968,1,5,1815,
339,TX,17.36,979,1,4,920,
340,CA,10.07,622,0,1,587,
341,TX,12.54,584,0,8,508,
342,NJ,15.06,810,0,4,788,
343,CO,0.0,0,0,0,0,
344,TX,15.53,719,0,5,681,
345,NC,11.36,495,0,1,455,
346,TN,32.06,3225,1,11,2805,
347,CO,24.64,1761,0,3,1681,
348,PA,22.73,1961,1,7,1864,
349,NJ,16.21,652,1,7,572,
350,NC,12.66,815,0,4,751,
351,CO,16.84,1461,0,8,1344,
352,TN,9.95,807,0,0,793,
353,TX,18.19,1125,1,3,1094,
354,LA,8.0,684,0,3,642,
355,OH,24.75,3342,1,12,2924,
356,NC,9.9,707,1,2,640,
357,MN,5.78,510,0,1,501,
358,PA,14.74,992,1,6,931,
359,CT,15.08,982,1,5,934,
360,VA,17.43,1275,1,2,1197,
361,CO,16.66,1294,1,5,1204,
362,LA,0.0,0,0,0,0,
363,MA,11.34,752,0,0,717,
364,MO,6.87,316,0,0,305,
365,NC,8.41,671,1,4,629,
366,NC,13.01,716,0,1,684,
367,NC,12.42,864,1,4,823,
368,MA,0.0,0,0,0,0,
369,NM,17.04,1435,0,1,1330,
370,NC,50.93,4179,1,10,3951,
371,CT,15.96,548,0,4,520,
372,GA,16.75,1031,1,2,980,
373,MN,1.94,120,0,0,116,
374,TX,0.0,0,0,0,0,
375,CO,3.16,146,0,0,144,
376,GA,0.0,0,0,0,0,
377,MS,18.36,1202,0,5,1087,
378,CA,14.27,779,1,4,741,
379,LA,9.39,445,0,3,418,
380,GA,15.06,732,0,1,661,
381,IA,10.06,589,0,2,532,
382,OH,12.89,937,1,2,811,
383,NC,9.67,943,1,2,825,
384,TX,9.89,1034,1,5,936,
385,MO,4.55,324,0,0,312,
386,TN,9.66,486,0,1,461,
387,SC,373.87,21142,1,44,17529,
388,CA,0.0,0,0,0,0,
389,CO,14.28,856,1,2,822,
390,TN,14.73,1415,1,3,1358,
391,NJ,15.36,605,1,7,574,
392,MO,9.62,674,0,0,660,
393,MS,14.74,1341,0,1,1217,
394,CA,9.95,736,0,3,710,
395,GA,9.12,534,0,1,517,
396,CA,15.0,829,0,4,773,
397,CA,0.0,0,0,0,0,
398,MO,6.54,452,0,0,444,
399,MI,0.0,0,0,0,0,
400,NJ,15.7,780,0,8,758,
401,TN,5.31,574,0,1,565,
402,TN,7.6,621,1,4,611,
403,GA,10.81,853,0,1,812,
404,GA,15.43,1183,1,5,1158,
405,TX,16.38,703,1,1,645,
406,IA,46.27,3467,1,8,3185,
407,WI,0.0,0,0,0,0,
408,WI,37.25,2760,1,10,2552,
409,CA,42.14,2774,1,17,2616,
410,TX,15.7,714,0,1,668,
411,TX,10.84,859,1,3,799,
412,TX,15.61,670,0,1,598,
413,TX,16.56,908,1,3,848,
414,TX,15.2,723,0,4,673,
415,PA,0.0,0,0,0,0,
416,WI,0.0,0,0,0,0,
417,RI,16.82,1413,0,3,1285,
418,CA,91.2,6440,1,28,5911,
419,NC,38.57,2429,1,5,2235,
420,CA,10.04,377,1,4,371,
421,OH,25.27,3272,1,6,2858,
422,TX,8.13,690,0,0,610,
423,PA,17.8,651,0,5,595,
424,NC,0.0,0,0,0,0,
425,TN,8.68,489,0,2,466,
426,TX,0.0,0,0,0,0,
427,MN,5.6,337,1,2,324,
428,PA,4.27,358,0,1,342,
429,IA,22.01,2281,1,6,1918,
430,NJ,16.2,427,0,1,395,
431,GA,12.99,1288,1,5,1180,
432,MN,12.56,749,1,6,705,
433,NC,22.7,1927,1,5,1787,
434,CA,0.0,0,0,0,0,
435,MN,0.0,0,0,0,0,
436,MN,5.69,375,1,2,353,
437,PA,25.6,1719,0,3,1582,
438,NM,7.72,501,0,0,483,
439,MO,3.7,303,0,0,282,
440,CA,6.38,420,0,1,403,
441,NC,18.42,953,0,1,920,
442,IA,19.97,1713,1,4,1480,
443,GA,15.71,789,0,1,761,
444,TX,15.43,735,0,2,710,
445,TX,16.71,940,0,2,873,
446,CA,0.0,0,0,0,0,
447,TN,5.33,547,0,2,540,
448,TX,14.86,511,1,4,482,
449,MI,6.34,451,0,2,428,
450,TN,6.31,519,0,1,506,
451,PA,68.97,4133,1,15,3900,
452,CT,14.1,870,0,9,755,
453,CA,10.61,603,0,1,585,
454,CT,16.03,873,1,3,824,
455,MN,7.92,534,1,1,507,
456,PA,32.69,3764,0,10,3468,
457,RI,30.87,2778,1,6,2564,
458,MI,7.98,471,0,2,449,
459,GA,7.24,577,1,1,538,
460,MS,10.38,747,0,1,683,
461,TX,8.49,590,0,0,549,
462,LA,0.0,0,0,0,0,
463,MN,11.2,1156,1,3,1092,
464,MN,0.0,0,0,0,0,
465,GA,10.02,560,0,2,536,
466,CT,13.96,890,0,2,832,
467,GA,10.79,752,0,2,715,
468,TX,19.04,1323,0,3,1206,
469,NC,10.36,870,1,6,785,
470,CO,13.11,1224,1,7,1114,
471,TX,18.78,795,0,2,754,
472,TX,8.55,570,0,0,551,
473,CO,21.32,717,1,4,624,
474,GA,9.68,385,0,0,367,
475,NC,0.0,0,0,0,0,
476,CO,17.95,1150,0,1,1086,
477,TX,0.0,0,0,0,0,
478,TX,16.25,1035,1,5,1013,
479,MI,14.89,1074,0,1,997,
480,TX,9.59,826,0,2,767,
481,CO,32.71,2630,1,9,2465,
482,TX,4.94,418,0,2,404,
483,RI,10.74,968,1,3,928,
484,NC,8.38,661,1,4,609,
485,LA,10.48,967,1,5,806,
486,OH,12.93,895,1,6,844,
487,CO,28.13,2857,1,6,2435,
488,PA,13.22,763,1,6,679,
489,CA,6.15,396,0,8,360,
490,TN,7.91,1311,0,4,1294,
491,NC,14.93,834,0,2,811,
492,MO,8.52,635,1,1,579,
493,CA,9.34,837,1,6,823,
494,NJ,17.62,1212,0,4,1139,
495,TX,20.3,1171,0,4,1136,
496,TX,0.0,0,0,0,0,
497,NC,10.61,647,0,0,613,
498,CO,8.04,671,0,1,648,
499,PA,15.79,754,0,4,703,
500,TN,10.39,1026,0,4,1011,
501,NJ,16.49,963,1,8,899,
502,MO,4.74,370,0,1,356,
503,ME,48.89,4458,0,13,3784,
504,TN,5.35,443,0,0,439,
505,MI,0.0,0,0,0,0,
506,NJ,16.77,1074,0,1,993,
507,GA,14.09,998,0,4,960,
508,MO,17.55,1110,0,2,1032,
509,CT,14.62,836,0,3,806,
510,OH,10.88,670,0,2,577,
511,CO,39.86,2992,1,9,2720,
512,MI,16.39,875,0,2,854,
513,CA,10.57,689,1,2,664,
514,GA,35.0,2930,1,7,2627,
515,CA,13.85,879,0,5,834,
516,NC,16.95,1717,1,6,1543,
517,CA,8.21,519,0,0,488,
518,TX,5.36,177,0,1,171,
519,CA,5.39,372,0,3,358,
520,GA,15.04,1082,0,0,1034,
521,RI,15.31,1592,0,8,1508,
522,CA,8.87,494,0,1,477,
523,NC,31.08,1939,1,9,1753,
524,TX,16.37,1043,0,5,988,
525,IA,0.0,0,0,0,0,
526,TX,9.28,828,1,3,778,
527,MO,6.32,471,0,1,454,
528,RI,13.49,838,1,8,752,
529,MI,18.77,954,1,2,890,
530,MS,15.08,764,0,3,685,
531,TN,8.04,1196,1,6,1180,
532,MS,0.0,0,0,0,0,
533,PA,6.73,422,0,0,388,
534,NC,18.4,1032,0,5,923,
535,TX,10.4,769,0,0,689,
536,TN,0.0,0,0,0,0,
537,PA,17.89,1618,1,5,1340,
538,MA,20.65,1544,0,2,1431,
539,CT,14.55,955,1,2,934,
540,CO,22.03,1474,1,7,1421,
541,GA,13.78,1021,1,3,954,
542,PA,15.98,958,1,4,903,
543,LA,46.86,5434,1,17,5109,
544,CA,46.64,3118,1,6,2774,
545,WI,0.0,0,0,0,0,
546,LA,5.17,273,0,1,261,
547,CA,26.77,2255,1,7,2102,
548,CA,16.75,1403,0,6,1304,
549,NC,11.67,415,1,1,364,
550,RI,9.4,932,0,2,909,
551,PA,21.71,1564,1,3,1479,
552,GA,15.56,1296,0,2,1263,
553,PA,8.32,510,1,2,489,
554,TX,0.0,0,0,0,0,
555,TX,33.42,1771,1,9,1496,
556,MN,0.0,0,0,0,0,
557,TN,0.0,0,0,0,0,
558,TX,8.81,788,1,4,742,
559,NC,12.95,810,1,3,749,
560,TX,15.11,807,0,8,750,
561,CO,33.15,2736,1,9,2419,
562,WI,68.44,4328,1,12,3923,
563,NC,53.34,3406,1,8,3199,
564,LA,8.92,668,1,4,540,
565,GA,18.82,961,0,1,910,
566,ME,10.76,761,0,5,713,
567,NC,4.42,319,0,0,285,
568,MO,0.0,0,0,0,0,
569,MS,15.65,848,0,5,741,
570,NC,12.09,1296,0,2,1187,
571,GA,9.72,511,0,1,500,
572,SC,8.94,529,1,3,455,
573,CA,0.0,0,0,0,0,
574,GA,16.95,917,1,5,867,
575,NC,7.35,484,0,0,457,
576,CA,0.0,0,0,0,0,
577,NJ,12.26,546,0,1,505,
578,GA,20.63,1230,1,12,1188,
579,LA,16.04,846,0,2,783,
580,CA,10.64,646,0,3,584,
581,MN,0.0,0,0,0,0,
582,OH,39.32,4096,0,6,3596,
583,ME,47.36,4173,1,11,3563,
584,TX,16.93,1505,1,3,1471,
585,NC,0.0,0,0,0,0,
586,WI,22.49,1626,0,2,1481,
587,TX,15.1,752,0,1,713,
588,PA,10.89,954,0,0,849,
589,CA,17.78,1496,0,2,1434,
590,RI,6.3,383,1,2,366,
591,IA,0.0,0,0,0,0,
592,RI,9.92,884,0,7,853,
593,IA,8.21,525,0,1,468,
594,MN,12.29,1076,0,1,1027,
595,CO,16.73,1267,1,6,1181,
596,MI,16.93,1165,1,10,1072,
597,PA,14.68,1074,0,2,1030,
598,CO,22.41,1677,0,2,1622,
599,NC,12.17,941,1,4,899,
600,TX,20.12,1940,1,8,1807,
601,NJ,0.0,0,0,0,0,
602,TX,15.78,876,0,1,847,
603,NM,11.07,854,1,3,803,
604,CO,15.68,855,1,3,832,
605,TX,14.45,715,0,0,701,
606,GA,15.79,972,0,2,908,
607,TN,2.15,123,0,0,116,
608,NC,21.03,2603,1,10,2347,
609,TN,34.45,2459,1,5,2148,
610,TN,15.0,500,0,2,467,
611,PA,12.38,827,1,2,772,
612,CA,40.86,3140,1,20,3000,
613,NJ,10.87,726,1,1,704,
614,NC,14.4,977,0,1,881,
615,TN,13.43,1012,1,3,946,
616,MO,11.57,795,1,1,770,
617,TN,5.36,515,0,3,505,
618,LA,32.78,4084,1,6,3411,
619,CA,25.01,2150,1,10,1970,
620,CA,23.38,2051,0,2,1985,
621,MI,17.05,1145,0,3,1093,
622,CA,35.13,2008,1,10,1924,
623,NJ,15.2,732,0,1,710,
624,CT,14.88,1163,1,13,1055,
625,CO,36.46,3377,1,7,2872,
626,MO,5.0,280,0,3,252,
627,GA,16.54,903,1,1,832,
628,TX,2.44,195,0,0,191,
629,GA,13.88,1132,0,7,1079,
630,MO,8.88,955,1,2,916,
631,NC,9.82,466,1,5,433,
632,RI,30.18,2851,1,11,2669,
633,WI,0.0,0,0,0,0,
634,TX,38.92,2329,1,6,2227,
635,CO,0.0,0,0,0,0,
636,MO,12.47,986,0,3,905,
637,PA,49.72,2900,1,14,2558,
638,GA,13.92,1100,1,8,1052,
639,PA,15.0,926,1,3,877,
640,CA,15.75,1088,0,1,1055,
641,RI,15.93,1646,0,3,1581,
642,TN,10.19,485,0,1,453,
643,TX,8.13,690,1,4,636,
644,RI,14.87,1278,0,2,1237,
645,NC,9.66,855,1,1,794,
646,ME,50.03,3668,1,16,3099,
647,CO,13.64,609,1,4,559,
648,CA,17.06,1317,0,8,1247,
649,NJ,14.56,782,0,3,753,
650,GA,12.45,951,0,3,832,
651,MN,1.68,162,0,0,160,
652,MS,15.48,612,0,2,539,
653,TN,5.67,443,0,1,432,
654,NJ,13.29,725,0,3,710,
655,NJ,15.47,707,0,2,628,
656,TX,10.53,586,0,6,560,
657,TN,2.78,106,0,1,97,
658,NJ,0.0,0,0,0,0,
659,PA,3.57,257,1,2,240,
660,MI,7.98,480,0,0,435,
661,MS,13.54,1228,1,3,1135,
662,CA,24.84,1445,0,8,1391,
663,NJ,14.34,868,0,5,822,
664,NC,0.0,0,0,0,0,
665,TX,14.55,455,0,4,407,
666,PA,29.07,2018,0,1,1841,
667,PA,18.47,1902,1,5,1575,
668,CA,10.96,746,1,2,715,
669,TX,15.64,583,1,1,566,
670,CT,15.36,1163,1,12,1051,
671,TX,8.59,1165,1,3,1014,
672,TX,15.41,881,0,2,840,
673,CA,24.62,1780,1,14,1701,
674,MN,0.0,0,0,0,0,
675,WI,0.0,0,0,0,0,
676,MO,12.38,933,0,2,838,
677,NC,0.0,0,0,0,0,
678,NJ,15.22,731,0,2,696,
679,MI,8.64,381,1,3,360,
680,TX,16.06,365,0,4,349,
681,CT,15.74,688,0,0,611,
682,TN,7.92,641,0,2,625,
683,CA,38.08,2239,0,12,2103,
684,NJ,0.0,0,0,0,0,
685,CO,22.83,1143,0,3,1040,
686,CA,3.12,336,1,3,334,
687,NC,30.66,925,0,9,829,
688,MO,8.52,596,1,4,563,
689,TX,38.1,3668,1,8,3320,
690,NJ,14.48,636,0,2,589,
691,CT,0.0,0,0,0,0,
692,MS,0.0,0,0,0,0,
693,NM,18.66,1292,1,5,1183,
694,MO,7.27,510,0,1,491,
695,TX,18.07,1477,0,5,1328,
696,CA,19.76,1471,1,6,1372,
697,CA,7.04,529,0,2,510,
698,CA,0.0,0,0,0,0,
699,NC,31.8,2039,1,11,1876,
700,CA,17.13,980,1,5,908,
701,LA,21.71,1940,1,6,1880,
702,RI,30.02,1983,1,12,1816,
703,MN,10.89,585,0,4,532,
704,TN,7.88,756,1,4,743,
705,CA,14.67,1131,1,7,1074,
706,MO,9.91,835,0,0,818,
707,TN,22.36,1722,1,7,1626,
708,MS,12.54,545,1,7,496,
709,CA,5.33,245,0,1,238,
710,TX,31.39,1886,1,8,1776,
711,MA,15.2,733,1,4,672,
712,TN,14.24,1031,1,2,995,
713,TX,9.77,1158,1,3,1122,
714,WI,0.0,0,0,0,0,
715,CA,16.57,844,1,6,802,
716,CO,11.96,726,0,3,710,
717,PA,9.07,590,0,2,561,
718,LA,9.36,815,1,4,677,
719,CO,0.0,0,0,0,0,
720,MS,13.65,445,0,4,410,
721,MO,9.18,544,0,2,496,
722,TN,26.41,1171,0,3,1068,
723,NJ,16.29,886,0,8,804,
724,GA,21.84,1503,0,5,1435,
725,TX,4.76,375,0,0,365,
726,TX,4.54,282,0,0,271,
727,CT,13.26,1111,0,4,1078,
728,CO,2.5,124,0,1,121,
729,CA,11.52,1123,0,1,1095,
730,NJ,12.22,429,0,8,359,
731,PA,9.51,732,1,6,686,
732,TN,25.85,1968,0,3,1898,
733,CA,7.23,350,0,0,332,
734,TN,14.15,644,0,2,582,
735,NM,15.06,955,0,3,919,
736,CA,9.81,329,1,2,310,
737,GA,22.84,2062,0,13,1924,
738,NC,22.83,1183,0,5,1138,
739,TN,24.2,1666,1,4,1596,
740,TX,16.54,1612,0,1,1530,
741,OH,13.11,1064,1,5,915,
742,CA,13.29,569,0,2,532,
743,CA,51.35,3686,1,29,3540,
744,GA,14.9,1188,0,2,1155,
