,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
0,CA,40.27,1397,1,17,1320,
1,TX,16.67,877,0,7,816,
2,UT,33.96,1455,0,8,1361,
3,TX,32.97,1554,1,4,1446,
4,VA,32.0,1326,0,4,1242,
5,CA,50.27,2969,1,24,2766,
6,OK,51.0,1822,1,15,1562,
7,CA,63.96,3025,1,10,2818,
8,TX,30.9,1359,1,25,1161,
9,CA,88.15,4732,1,38,4497,
10,CA,54.42,1981,1,19,1792,
11,MI,40.96,1817,1,17,1598,
12,TX,16.09,949,1,18,898,
13,TX,31.51,1402,1,10,1306,
14,IN,33.08,1277,1,7,1169,
15,WA,50.15,1942,1,13,1819,
16,FL,63.86,2709,1,19,2510,
17,IN,32.31,1003,1,10,945,
18,OK,32.13,1962,0,8,1814,
19,GA,49.01,1835,1,52,1599,
20,VA,41.03,1354,1,11,1223,
21,NJ,49.8,1672,1,17,1563,
22,TX,31.52,1082,0,9,989,
23,FL,61.55,3337,1,12,3174,
24,VA,37.46,2124,1,11,1908,
25,CA,63.34,2530,1,16,2385,
26,MI,48.64,2439,1,19,2123,
27,WA,43.4,1858,1,10,1728,
28,TX,15.98,862,0,6,807,
29,VA,42.48,1306,0,9,1147,
30,IL,31.45,1763,1,8,1660,
31,CA,31.53,1712,0,6,1501,
32,CO,49.69,2329,0,14,2057,
33,KS,32.07,1088,0,8,1003,
34,OH,18.35,933,0,8,889,
35,NJ,48.77,1757,1,11,1636,
36,VA,36.91,1285,1,15,1209,
37,NM,31.73,1690,0,11,1561,
38,CA,65.44,2593,1,12,2491,
39,CA,35.88,2544,1,25,2373,
40,WA,66.08,1594,1,10,1453,
41,OH,15.73,768,1,10,718,
42,OR,57.18,1848,1,9,1646,
43,WA,49.41,1683,1,9,1602,
44,CA,32.6,741,0,10,655,
45,WA,48.14,1465,0,4,1356,
46,CA,58.93,2484,1,23,2304,
47,UT,48.07,3465,1,18,3270,
48,FL,40.29,1579,1,13,1534,
49,PA,43.44,1467,1,10,1399,
50,OR,50.02,1806,1,13,1629,
51,FL,71.15,2820,1,19,2719,
52,VA,32.21,896,0,3,707,
53,CA,33.06,987,1,10,920,
54,PA,30.75,1159,1,8,1101,
55,TX,31.75,1319,1,8,1203,
56,OH,32.04,1313,0,6,1207,
57,NC,16.14,815,0,9,770,
58,IN,30.13,1133,1,13,1070,
59,CA,82.31,4369,1,31,4064,
60,CA,66.1,2715,1,20,2593,
61,WA,31.01,986,0,6,899,
62,OR,49.88,1663,0,4,1509,
63,NJ,98.95,4068,1,24,3663,
64,FL,63.06,2997,1,19,2836,
65,FL,15.87,579,1,6,559,
66,IL,33.06,1199,1,6,1065,
67,WA,49.02,2256,1,15,2113,
68,WA,48.47,2262,1,7,2165,
69,CA,63.31,3015,1,17,2832,
70,CA,32.57,1519,1,16,1438,
71,FL,39.77,1311,0,9,1220,
72,CA,24.01,763,1,6,708,
73,UT,48.99,2500,1,22,2335,
74,FL,44.02,2061,1,31,1910,
75,PA,46.11,2426,1,16,2313,
76,FL,15.91,887,1,11,845,
77,UT,49.13,2679,1,9,2466,
78,AZ,49.29,2154,1,12,1979,
79,PA,42.82,1910,1,16,1741,
80,WA,31.77,1016,1,8,901,
81,CA,37.14,1687,1,20,1537,
82,NM,85.3,3171,1,14,2807,
83,OK,47.66,2495,1,12,2248,
84,PA,93.39,3201,1,31,2970,
85,CA,31.8,1340,0,8,1264,
86,CA,7.8,404,0,0,364,
87,TX,31.72,1038,1,3,934,
88,VA,30.4,1714,1,21,1606,
89,FL,63.98,3664,1,21,3467,
90,VA,35.04,1461,0,12,1353,
91,TX,31.54,1442,1,14,1311,
92,OK,49.58,2203,0,13,2059,
93,OR,48.48,1769,0,8,1639,
94,FL,41.46,1474,1,17,1358,
95,WA,47.46,2132,1,38,1923,
96,TX,15.57,908,1,18,830,
97,TX,23.78,1017,0,6,950,
98,VA,34.77,2097,1,19,1998,
99,AZ,32.18,1166,1,12,1105,
100,PA,40.27,2285,1,19,2081,
101,CA,30.38,1584,0,3,1497,
102,CA,64.96,2829,1,15,2710,
103,MI,49.15,1733,1,16,1618,
104,VA,32.06,1453,1,18,1361,
105,NC,48.51,1876,1,10,1741,
106,NC,16.03,845,1,13,809,
107,CA,15.75,605,1,4,582,
108,CA,32.32,1868,1,18,1744,
109,PA,32.01,1526,1,17,1442,
110,CA,32.04,1394,0,9,1258,
111,CA,73.4,3690,1,32,3470,
