,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
112,TX,32.23,1178,1,15,1089,
113,TX,24.36,1508,1,19,1416,
114,UT,24.04,640,1,6,607,
115,UT,48.97,3254,1,15,3063,
116,CA,16.8,387,1,2,363,
117,CA,17.97,565,0,5,491,
118,IL,32.26,1398,0,7,1329,
119,CA,65.96,3538,1,30,3340,
120,NJ,63.09,2199,1,20,1999,
121,IL,31.36,1279,1,6,1218,
122,CA,48.71,2497,0,16,2334,
123,FL,16.04,741,1,5,716,
124,UT,15.63,554,0,2,532,
125,IL,32.17,1906,1,20,1796,
126,CA,62.89,4321,1,27,4146,
127,WA,50.1,2049,1,9,1919,
128,MI,47.44,1317,0,7,1171,
129,CA,16.19,565,1,12,541,
130,CA,97.16,3462,0,15,3316,
131,CA,31.78,1941,1,5,1849,
132,FL,15.58,809,0,14,758,
133,NJ,81.49,2875,1,27,2475,
134,IL,32.74,1373,1,13,1317,
135,TX,19.08,1056,0,9,1001,
136,OK,31.15,988,0,4,778,
137,NC,49.74,1997,0,13,1854,
138,TX,15.64,753,0,6,732,
139,CA,66.7,1747,0,10,1586,
140,CA,37.39,1536,1,16,1394,
141,WA,49.51,2625,0,12,2482,
142,CA,40.45,1651,1,17,1488,
143,CA,32.15,1112,0,4,1039,
144,WA,47.73,1824,1,14,1686,
145,WA,45.64,1290,1,9,1206,
146,IL,31.25,1152,1,7,1015,
147,FL,15.48,1180,0,2,1136,
148,FL,63.3,3318,1,27,3189,
149,CA,59.85,2639,1,38,2446,
150,CO,64.3,2672,1,22,2447,
151,FL,48.02,2485,1,19,2383,
152,CA,65.64,2539,1,17,2301,
153,NV,32.39,1427,1,10,1362,
154,FL,40.43,2538,1,27,2333,
155,WA,48.43,1637,0,12,1518,
156,CA,63.98,2488,1,13,2303,
157,VA,32.35,1227,1,4,1050,
158,PA,36.62,2093,1,20,1991,
159,FL,15.9,987,0,8,958,
160,FL,71.26,3210,1,16,3095,
161,CA,118.03,4355,1,31,3913,
162,OR,49.66,2364,1,14,2218,
163,OH,16.58,986,1,21,922,
164,CA,65.03,2934,1,19,2795,
165,IL,32.43,1448,1,15,1381,
166,MI,44.33,2977,1,26,2601,
167,CA,31.74,1544,1,6,1427,
168,VA,40.27,2384,1,26,2188,
169,CA,32.19,2254,1,9,2099,
170,CA,64.01,2631,1,12,2404,
171,CA,65.49,2948,1,15,2805,
172,CA,32.36,1479,1,27,1443,
173,OR,49.46,2335,1,18,2210,
174,FL,54.29,3377,1,26,3209,
175,FL,15.74,960,1,8,929,
176,TX,50.58,1712,1,20,1646,
177,CA,24.6,1313,1,6,1273,
178,NV,32.6,1985,1,26,1875,
179,CA,43.26,1243,1,16,1176,
180,OK,48.26,2460,0,13,2338,
181,FL,39.69,2383,1,16,2165,
182,CA,25.1,1182,1,14,1090,
183,CA,31.16,1286,1,26,1229,
184,IL,31.55,1402,1,10,1289,
185,OH,17.63,792,0,3,742,
186,AZ,41.1,2532,1,22,2394,
187,NC,16.05,534,0,2,506,
188,OK,46.67,2524,1,19,2346,
189,CA,33.21,2297,1,8,2217,
190,WA,31.3,1194,1,8,1069,
191,FL,41.48,2509,1,49,2390,
192,TX,16.18,932,0,7,861,
193,CA,64.46,3089,1,8,2855,
194,CA,50.67,1949,1,13,1832,
195,FL,65.95,3898,1,17,3735,
196,CA,97.76,3842,1,17,3684,
197,CA,41.25,1369,1,16,1242,
198,PA,31.73,1361,1,7,1280,
199,CA,6.99,276,1,2,261,
200,CA,57.81,2239,1,19,2038,
201,OK,49.85,1956,1,14,1805,
202,CA,32.18,1038,1,6,991,
203,CA,29.61,1577,1,9,1539,
204,FL,40.49,1228,1,12,1166,
205,CA,16.09,571,1,6,529,
206,TX,31.92,1589,1,20,1464,
207,IL,32.18,1658,1,9,1560,
208,OH,24.29,1266,1,6,1208,
209,FL,40.33,1331,1,14,1251,
210,TX,16.49,786,0,4,731,
211,TX,31.24,1106,1,7,1003,
212,FL,64.45,2975,1,25,2807,
213,IL,62.03,2258,1,19,2061,
214,TX,31.79,1897,1,15,1702,
215,UT,32.51,1651,1,20,1568,
216,CO,49.01,2333,1,18,2178,
217,CA,7.2,198,0,1,185,
218,IL,32.63,1439,1,20,1369,
219,CA,66.34,3054,1,22,2890,
220,NC,47.4,1681,1,7,1507,
221,CA,7.04,285,1,8,274,
222,CA,32.83,1533,1,11,1422,
223,VT,37.34,1329,1,11,1235,
224,FL,38.08,2814,1,33,2679,
225,TX,12.23,676,0,7,649,
226,VA,33.49,1631,1,14,1446,
227,FL,15.45,735,1,16,687,
228,TX,32.6,1097,1,6,1028,
229,FL,39.9,1721,1,10,1618,
230,WA,79.11,3389,0,18,3155,
231,OR,49.61,1797,0,6,1650,
232,NV,57.08,3911,1,24,3609,
233,CA,0.0,0,0,0,0,
234,UT,49.45,4065,1,12,3874,
235,CA,6.88,273,0,6,254,
236,CA,49.15,2652,1,18,2558,
237,FL,16.3,653,1,9,607,
238,CA,52.16,2093,1,17,1993,
239,CA,71.39,3861,1,31,3642,
240,OH,18.26,1055,0,38,980,
241,FL,41.69,1311,1,18,1257,
242,CA,67.78,2714,1,9,2549,
243,FL,39.91,1237,1,22,1156,
244,CA,23.61,1326,1,3,1244,
245,CA,6.79,220,0,4,207,
246,CA,7.07,232,1,2,212,
247,CA,65.65,3734,1,51,3482,
248,TX,33.53,1125,1,12,1051,
249,IL,32.24,1408,1,11,1346,
250,WA,50.55,1759,1,8,1672,
251,AZ,50.04,2497,1,24,2386,
252,CA,48.96,2993,1,22,2748,
253,IL,31.11,1193,0,9,1060,
254,OK,59.13,2008,1,18,1781,
255,FL,16.36,1005,1,5,981,
256,TX,0.0,0,0,0,0,
257,WA,49.36,1751,1,9,1624,
258,CA,16.08,622,1,13,603,
259,PA,39.28,1906,1,18,1789,
260,VA,41.94,1661,1,7,1502,
261,CA,32.42,2626,1,22,2486,
262,TX,32.17,1575,1,9,1478,
263,TX,32.6,2465,1,15,2200,
264,TX,28.34,1369,0,7,1258,
265,CA,86.92,3303,1,46,3190,
266,NC,49.43,1778,1,18,1618,
267,IN,31.9,1093,1,13,1018,
268,VA,23.61,1496,1,10,1394,
269,NV,32.15,2183,1,27,2096,
270,TX,32.44,1398,0,11,1320,
271,CA,16.28,558,0,5,538,
272,AZ,41.28,1659,1,17,1592,
273,CA,23.38,684,0,6,630,
274,CA,48.78,2177,1,25,2079,
275,CA,6.96,449,0,0,370,
276,VA,31.46,996,0,8,876,
277,NC,15.91,934,1,8,865,
278,CA,54.42,2816,1,25,2477,
279,TX,34.56,757,0,6,699,
280,WA,32.08,1682,1,21,1603,
281,NC,49.09,1746,1,14,1592,
282,CA,32.47,882,1,20,845,
283,CA,63.96,2389,1,28,2203,
284,OK,47.75,1742,0,9,1643,
285,CA,40.96,2119,0,15,1931,
286,UT,49.95,2991,1,7,2695,
287,AZ,24.09,904,1,4,871,
288,NV,31.72,1168,0,4,1104,
289,WA,48.85,3112,1,14,2934,
290,WA,49.38,1817,1,15,1682,
291,WA,48.7,1659,1,30,1559,
292,CA,32.26,1372,0,12,1333,
293,TX,19.69,834,1,5,805,
294,CA,63.96,2867,1,22,2720,
295,TX,17.15,986,1,8,930,
296,NC,47.25,2146,0,27,1888,
297,TX,23.82,1012,0,8,913,
298,WA,48.77,2252,1,10,2088,
299,PA,40.58,2536,1,32,2393,
300,MA,16.01,1072,1,20,931,
301,NJ,81.39,3209,1,30,2808,
302,CO,0.0,0,0,0,0,
303,NJ,83.02,2906,1,22,2634,
304,NM,37.0,1996,1,14,1862,
305,CA,32.74,1022,0,4,934,
306,VA,40.5,1925,1,23,1818,
307,CA,16.34,695,1,6,665,
308,CA,40.06,1873,1,12,1721,
309,CA,65.34,3073,1,23,2906,
310,CA,7.12,206,0,3,194,
311,WA,64.22,2013,0,4,1766,
312,CA,16.19,568,1,8,551,
313,CA,30.01,995,1,6,977,
314,CA,24.68,1072,1,7,997,
315,OR,50.73,1675,0,7,1489,
316,CA,49.41,2051,1,16,1900,
317,FL,65.12,3119,1,15,2985,
318,VA,31.98,976,1,5,892,
319,FL,63.51,2764,1,15,2634,
320,FL,47.47,2448,1,22,2326,
321,TX,48.17,1905,1,19,1799,
322,CA,37.19,1810,1,16,1674,
323,OH,29.66,1093,0,6,1016,
324,NV,31.59,1911,1,11,1818,
325,CA,23.99,1250,1,12,1148,
326,TX,32.28,1171,1,6,1085,
327,CA,16.24,768,1,21,748,
328,CA,54.25,2322,1,39,2248,
329,NC,47.33,2131,1,19,1824,
330,CA,99.25,4594,1,21,4397,
331,CA,40.9,1296,1,16,1205,
332,WA,53.49,2458,1,24,2185,
333,WA,64.66,2721,1,12,2547,
334,UT,48.67,3352,0,9,3089,
335,KS,50.42,2615,1,6,2482,
336,CA,59.17,2150,0,25,1977,
337,TX,32.05,1553,1,15,1495,
338,FL,16.17,673,1,8,569,
339,FL,16.05,1454,1,13,1410,
340,TX,16.29,662,0,3,615,
341,FL,40.54,1516,1,14,1466,
342,NM,15.63,652,0,4,604,
343,CA,48.71,1967,1,25,1802,
344,CA,6.85,283,0,3,267,
345,CA,7.13,326,1,5,315,
346,CA,41.66,1481,0,21,1397,
347,IL,40.7,1910,1,12,1774,
348,CA,48.44,1919,0,8,1824,
349,PA,72.44,3503,1,27,3265,
350,FL,65.73,2655,1,15,2433,
351,TX,24.04,1066,1,10,1007,
352,FL,42.6,1509,1,34,1440,
353,NM,32.75,1579,1,10,1473,
354,OR,48.45,2108,1,17,1994,
355,OH,23.35,1215,1,22,1141,
356,CA,48.82,2738,1,21,2577,
357,UT,48.28,2516,1,17,2417,
358,CA,66.4,2488,1,31,2310,
359,NV,31.06,1778,1,15,1649,
360,NC,16.05,527,1,4,493,
361,CA,32.32,997,0,9,928,
362,OK,48.24,2153,1,13,1990,
363,WA,49.63,1799,1,8,1701,
364,TX,31.69,1584,0,12,1526,
365,FL,40.95,1796,1,12,1711,
366,CA,63.65,3855,1,44,3626,
367,TX,30.83,1431,1,9,1354,
368,OK,47.87,2023,1,5,1917,
369,WA,26.75,1141,1,8,1076,
370,CA,32.02,1186,1,8,1133,
371,KS,47.55,2586,0,8,2479,
372,WA,47.96,2296,1,21,2193,
373,CA,31.74,1001,1,6,927,
374,FL,40.48,1750,1,16,1698,
375,TX,15.91,835,1,6,768,
376,OK,50.59,2424,1,12,2220,
377,IL,31.98,1820,1,11,1689,
378,FL,15.98,675,1,5,612,
379,WA,49.89,1784,1,6,1669,
380,CA,65.41,2663,1,19,2438,
381,OR,50.78,1637,1,8,1467,
382,OK,46.54,1963,1,7,1835,
383,CA,35.17,1002,1,20,937,
384,PA,35.02,1673,1,24,1574,
385,OR,48.85,2343,1,14,2167,
386,TX,31.55,1424,1,18,1302,
387,NM,32.48,1214,1,7,1102,
388,CA,65.09,2327,1,19,2173,
389,CA,48.88,2421,1,25,2328,
390,CA,63.99,3582,1,33,3405,
391,IN,31.96,2084,1,18,1928,
392,CA,56.58,1944,0,17,1727,
393,CA,16.32,851,1,7,801,
394,NJ,48.65,1534,1,19,1437,
395,CA,15.52,741,1,17,723,
396,TX,53.49,3069,1,14,2865,
397,CA,7.18,215,0,1,201,
398,MI,49.16,1383,1,9,1313,
399,VA,32.71,1468,1,6,1334,
400,NM,63.4,2495,1,16,2235,
401,CA,65.37,2674,0,29,2431,
402,FL,63.95,3578,1,14,3393,
403,CA,96.71,3923,1,18,3775,
404,WA,32.6,1525,1,13,1475,
405,CA,6.73,227,0,4,223,
406,CA,7.13,398,1,5,369,
407,IL,31.38,1520,1,11,1432,
408,CA,40.63,1360,0,17,1243,
409,NC,0.0,0,0,0,0,
410,TX,10.18,779,0,2,730,
411,TX,16.62,819,1,5,756,
412,IL,32.27,1413,1,15,1238,
413,CA,16.31,654,1,8,638,
414,NC,23.27,1014,0,9,924,
415,CO,48.78,2588,1,22,2342,
416,CO,63.26,2633,1,21,2491,
417,CA,35.66,1212,1,14,1162,
418,CA,64.81,3023,1,17,2919,
419,CA,50.32,1842,1,28,1684,
420,CA,63.85,2726,1,13,2575,
421,IL,30.71,1065,1,18,1000,
422,WA,57.27,2374,1,8,2261,
423,CA,49.79,2347,0,11,2219,
424,FL,43.39,1787,1,9,1659,
425,OH,33.41,3330,1,36,3059,
426,MA,16.29,949,1,14,887,
427,CA,61.21,2824,1,33,2595,
428,OH,31.65,2090,1,21,1966,
429,FL,49.49,1858,1,22,1741,
430,WA,47.85,1670,0,9,1587,
431,CO,67.15,2731,1,16,2474,
432,WA,48.99,2736,0,7,2572,
433,CA,40.47,1430,0,23,1331,
434,VA,29.23,1049,1,12,973,
435,CA,67.17,3059,1,32,2705,
436,FL,41.07,1516,1,15,1404,
437,CA,41.72,1426,1,14,1335,
438,CA,41.55,1931,1,25,1819,
439,FL,61.73,2417,1,11,2328,
440,CA,49.32,2782,1,31,2696,
441,CA,24.68,1452,1,11,1404,
442,PA,40.35,1886,1,15,1746,
443,CA,55.37,2841,0,8,2745,
444,TX,31.93,1454,1,9,1356,
445,OH,32.96,1822,1,35,1706,
446,PA,137.16,5238,1,42,4631,
447,TX,32.46,1846,1,8,1746,
448,FL,40.11,1738,1,17,1650,
449,CA,32.29,2294,1,11,2169,
450,WA,50.26,2140,1,8,2000,
451,NC,16.25,844,0,10,805,
452,CA,32.99,1320,1,11,1253,
453,FL,15.99,662,1,3,626,
454,TX,15.94,757,0,4,712,
455,TX,15.18,705,1,7,660,
456,IL,31.92,1705,1,17,1547,
457,WA,52.39,1835,1,10,1775,
458,UT,47.75,2738,1,10,2514,
459,CA,23.97,861,1,6,814,
460,PA,41.35,2299,1,34,2176,
461,WA,50.14,1628,1,16,1501,
462,TX,31.48,1643,0,6,1530,
463,GA,49.2,2491,1,49,2298,
464,MI,50.91,1377,1,15,1223,
465,CA,32.51,1701,1,11,1596,
466,CA,7.24,540,0,3,508,
467,CA,65.09,3424,1,26,3224,
468,CA,31.68,1919,1,23,1872,
469,CA,40.63,1842,1,15,1727,
470,VA,32.68,1676,1,19,1564,
471,TX,17.08,969,1,11,881,
472,OH,23.79,1443,1,14,1403,
473,NJ,63.76,2118,1,19,1927,
474,NM,31.96,1359,0,14,1243,
475,KS,47.18,2659,0,3,2528,
476,NC,16.08,808,0,3,776,
477,CA,16.08,640,0,4,581,
478,OK,32.94,682,0,3,577,
479,CA,41.75,1750,1,21,1594,
480,OH,18.12,957,0,2,875,
481,FL,64.86,3350,0,17,3204,
482,CO,47.67,2184,0,11,1947,
483,CA,32.38,1718,1,17,1568,
484,CA,48.52,2334,1,19,2147,
485,IN,32.65,1765,1,11,1646,
486,CA,50.83,2167,1,17,2016,
487,TX,32.38,1193,1,11,1121,
488,NC,50.05,2395,1,18,2127,
489,CA,65.78,3660,1,37,3479,
490,AZ,47.92,3525,1,30,3384,
491,CO,48.87,2464,0,7,2279,
492,NC,48.01,1874,1,12,1723,
493,CA,50.45,2547,1,33,2462,
494,IL,64.45,2158,1,13,1967,
495,TX,31.7,1463,1,4,1359,
496,TX,31.82,1441,1,5,1350,
497,CA,88.05,4045,1,38,3867,
498,OH,17.93,938,1,4,888,
499,VT,33.72,777,1,6,733,
500,FL,62.59,3581,1,21,3485,
501,TX,32.44,1406,1,6,1253,
502,CA,55.76,2467,0,20,2206,
503,IN,32.68,1315,1,12,1253,
504,FL,47.25,1575,1,16,1501,
505,WA,49.69,2414,0,20,2270,
506,VA,32.19,1572,1,7,1485,
507,OH,15.03,612,0,4,543,
508,FL,63.59,5241,1,30,5032,
509,CA,32.25,1891,1,12,1744,
510,IL,72.26,2321,1,15,2170,
511,CA,40.71,958,1,12,838,
512,WA,31.99,1524,1,10,1379,
513,WA,64.28,2733,1,18,2568,
514,CA,65.45,2957,1,26,2761,
515,CA,57.3,2192,1,24,2086,
516,VA,31.9,1650,1,5,1506,
517,NJ,62.48,2251,1,23,2021,
518,CA,31.31,2866,1,55,2582,
519,CO,60.15,2570,0,9,2345,
520,OH,38.05,1631,0,8,1483,
521,WA,63.0,2642,1,14,2452,
522,CA,31.82,1616,1,13,1529,
523,TX,24.83,729,1,2,689,
524,OH,17.59,1147,1,5,1040,
525,CA,63.53,3064,1,9,2869,
526,CA,41.26,1419,1,12,1321,
527,CA,24.19,859,1,7,807,
528,NM,16.12,869,0,5,830,
529,IL,33.2,1659,1,15,1531,
530,CA,38.14,1290,1,8,1208,
531,TX,100.81,3676,1,42,3471,
532,NV,33.23,1736,0,8,1667,
533,IN,30.98,1345,0,9,1287,
534,IL,33.91,1630,1,14,1550,
535,NM,32.39,926,0,8,844,
536,NM,32.17,1639,1,4,1540,
537,CA,20.1,1419,1,13,1366,
538,OH,31.78,1765,1,21,1701,
539,VA,44.77,1342,0,10,1160,
540,OK,48.05,2854,1,21,2668,
541,CA,63.04,2840,1,17,2708,
542,KS,36.92,1410,1,9,1285,
543,PA,41.77,2274,1,26,2157,
544,CA,7.24,253,0,0,228,
545,OH,32.49,1923,1,20,1730,
546,NJ,62.36,2376,1,16,2047,
547,NC,16.0,839,0,8,815,
548,FL,48.7,2525,1,55,2385,
549,TX,23.04,1071,1,8,983,
550,VA,31.44,1263,0,9,1187,
551,CA,65.82,2889,1,19,2741,
552,MI,49.71,1793,1,20,1689,
553,CA,16.58,460,0,4,432,
554,PA,41.01,1581,0,11,1489,
555,UT,49.55,3165,1,21,3075,
556,VT,32.53,1370,1,15,1305,
557,CA,55.38,2355,1,21,2089,
558,FL,64.86,3143,1,18,3032,
559,TX,24.35,1042,1,2,934,
560,CA,7.58,185,1,4,178,
561,TX,27.14,2030,1,14,1920,
562,FL,15.13,783,1,6,743,
563,CA,75.47,2301,1,23,2017,
564,CA,15.54,514,1,6,434,
565,CA,50.76,2363,0,19,2248,
566,NM,64.76,3792,1,20,3528,
567,CA,64.32,2836,1,26,2635,
568,IL,32.28,2043,1,10,1930,
569,CA,7.35,208,0,4,196,
570,NV,32.71,1973,1,22,1890,
571,CA,31.84,1670,1,12,1555,
572,WA,48.07,1956,1,11,1792,
573,VA,32.42,1328,1,5,1230,
574,UT,42.39,1401,1,10,1322,
575,TX,31.76,2418,1,23,2293,
576,NM,64.73,2914,1,17,2619,
577,CA,48.67,2033,1,12,1893,
578,OH,17.43,829,0,9,772,
579,FL,16.12,658,1,13,615,
580,CA,64.85,3546,1,33,3352,
581,WA,48.77,1798,0,6,1698,
582,PA,41.64,2751,1,70,2532,
583,CA,32.19,2053,1,15,1963,
584,IL,32.54,1469,1,15,1388,
585,IN,31.9,1327,1,14,1261,
586,FL,62.78,4349,1,16,4214,
587,IL,32.08,986,1,8,930,
588,TX,24.1,951,1,5,895,
589,TX,19.18,1140,1,7,1087,
590,IN,32.69,2119,1,16,1936,
591,IL,34.25,2279,0,6,1980,
592,CA,50.29,2496,1,24,2365,
593,WA,49.6,1606,1,8,1479,
594,FL,41.26,1764,1,22,1625,
595,CA,0.0,0,0,0,0,
596,CA,25.39,1085,0,7,979,
597,CA,62.59,2063,1,17,1937,
598,IL,31.98,1478,1,14,1427,
599,CA,66.27,3021,1,41,2884,
600,WA,49.74,2535,1,17,2386,
601,IN,31.88,2476,1,13,2293,
602,CA,31.03,1702,1,17,1604,
603,IN,32.46,1198,1,6,1146,
604,IL,32.2,2271,1,33,2173,
605,CA,23.62,1336,1,9,1247,
606,OK,31.77,821,0,5,690,
607,IL,31.57,1190,1,9,1041,
608,NC,49.42,1647,0,7,1489,
609,TX,31.66,1380,0,8,1258,
610,CA,47.3,1424,1,12,1277,
611,VA,31.43,1377,1,7,1247,
612,OK,49.77,2570,1,12,2375,
613,CA,65.38,3881,1,31,3703,
614,OK,31.72,1607,1,9,1484,
615,VA,41.68,1829,0,14,1659,
616,CA,40.69,1307,1,10,1198,
617,UT,24.02,1018,1,9,949,
618,OH,19.27,748,1,6,707,
619,TX,24.11,1583,0,7,1528,
620,NC,15.89,644,1,2,600,
621,IL,31.37,1603,0,3,1475,
622,CO,47.91,2780,0,16,2632,
623,TX,16.14,915,1,14,865,
624,TX,31.06,1397,0,15,1313,
625,CA,41.45,1206,0,14,1105,
626,TX,33.01,1388,1,16,1286,
627,WA,32.11,2197,1,23,2146,
628,NC,16.16,644,0,5,585,
629,NM,31.86,1797,1,15,1646,
630,VA,30.27,1311,1,8,1205,
631,UT,48.61,2382,0,7,2217,
632,CA,7.09,311,0,5,296,
633,NM,88.13,3717,0,12,3280,
634,CA,14.89,587,0,10,509,
635,CA,48.1,2479,1,15,2304,
636,CA,40.44,2116,1,12,1815,
637,CA,36.41,1228,1,14,1083,
638,CA,6.84,283,0,2,277,
639,CA,7.42,265,1,2,255,
640,CA,24.76,1530,1,12,1482,
641,TX,0.0,0,0,0,0,
642,WA,49.62,2706,1,22,2578,
643,NC,48.86,2336,1,10,2165,
644,NJ,62.0,1628,1,10,1473,
645,FL,64.78,3502,1,25,3386,
646,NC,47.8,1215,0,17,1012,
647,IL,61.83,2093,1,6,1974,
648,IL,32.76,1236,1,7,1151,
649,CA,50.29,1712,1,22,1638,
650,FL,15.97,1026,1,11,985,
651,NM,31.52,2014,1,10,1880,
652,WA,48.39,1657,1,11,1566,
653,CA,64.58,1609,1,15,1409,
654,OR,49.31,2089,1,14,1981,
655,CA,32.47,2175,1,17,2086,
656,IL,31.87,1384,1,8,1249,
657,CA,63.49,2995,1,13,2841,
658,FL,15.65,810,1,11,774,
659,NC,50.38,1861,0,10,1662,
660,PA,40.85,1558,1,10,1474,
661,CA,56.62,3240,1,30,2913,
662,TX,32.27,1364,1,12,1257,
663,KS,48.77,2209,1,10,2004,
664,CA,6.82,612,0,5,492,
665,CA,64.66,2645,1,49,2197,
666,VA,41.89,2035,1,29,1901,
667,CA,25.59,958,0,11,892,
668,IL,32.34,1651,1,22,1568,
669,OK,48.71,2710,1,9,2473,
670,OH,31.37,1773,1,24,1604,
671,FL,16.36,926,1,4,885,
672,VA,32.21,1454,1,9,1379,
673,PA,39.65,1955,1,22,1782,
674,CA,55.72,2411,1,10,2213,
675,TX,36.45,1826,1,12,1667,
676,MI,24.92,1216,1,15,1118,
677,CA,33.06,2558,1,26,2460,
678,CA,31.37,2332,1,6,2229,
679,WA,50.51,1410,0,15,1322,
680,NJ,48.44,1801,1,21,1567,
681,OH,31.69,2184,1,21,2047,
682,VA,24.47,1386,1,11,1309,
683,VA,40.32,2426,1,35,2138,
684,PA,40.74,2084,1,19,1973,
685,CA,65.63,2773,1,23,2572,
686,CA,57.01,2464,1,24,2256,
687,NC,17.05,1013,1,8,957,
688,CA,6.92,289,0,3,275,
689,VA,31.61,1255,1,13,1203,
690,MA,16.31,820,1,6,746,
691,CA,49.46,2110,0,13,1892,
692,TX,32.69,1535,1,6,1441,
693,FL,63.34,2489,1,20,2393,
694,OR,56.84,2199,0,3,1980,
695,CA,7.07,421,0,0,380,
696,OH,18.66,816,0,3,723,
697,CA,65.53,3230,1,29,3063,
698,TX,31.7,1572,1,14,1487,
699,NC,48.72,2835,1,27,2720,
700,CA,64.5,3379,1,31,2897,
701,NM,67.61,3606,0,16,3351,
702,PA,41.29,2317,1,39,2173,
703,TX,15.59,881,1,16,831,
704,TX,33.15,1377,1,21,1232,
705,CA,66.65,3612,1,20,3474,
706,CA,55.05,2066,1,15,1874,
707,CA,49.35,2200,1,24,2087,
708,WA,51.09,2368,1,12,2233,
709,IL,34.84,1465,1,19,1404,
